name,stems,branches,overall_width,overall_height,overall_depth,overall_volume,total_length,br_length_mean,br_length_std,br_length_min,br_length_max,br_order_mean,br_order_std,br_order_min,br_order_max,br_tortuosity_mean,br_tortuosity_std,br_tortuosity_min,br_tortuosity_max,bif_EucDist2soma_mean,bif_EucDist2soma_std,bif_EucDist2soma_min,bif_EucDist2soma_max,bif_PathDist2soma_mean,bif_PathDist2soma_std,bif_PathDist2soma_min,bif_PathDist2soma_max,asymmetry_mean,asymmetry_std,asymmetry_min,asymmetry_max,ampl_local_mean,ampl_local_std,ampl_local_min,ampl_local_max,ampl_remote_mean,ampl_remote_std,ampl_remote_min,ampl_remote_max,tilt_local_mean,tilt_local_std,tilt_local_min,tilt_local_max,tilt_remote_mean,tilt_remote_std,tilt_remote_min,tilt_remote_max,soma_region
18868_4132_x11881_y6094,7.0,483.0,3923.52,5019.33,2298.28,45261000000.0,50433.2,104.417,198.313,0.522387,1910.29,11.0497,5.53015,1.0,23.0,0.140151,0.121974,0.0,0.867249,1361.65,1489.18,0.0,4880.91,2304.92,2559.43,11.3316,8107.33,0.718487,0.450685,0.0,1.0,78.8217,31.4531,3.06378,167.372,75.4948,34.5759,3.33262,162.15,111.729,30.3324,25.8752,171.504,107.86,32.1359,25.7448,162.377,MOp
182724_3848_x8903_y23965,8.0,492.0,9876.92,4056.28,6749.05,270391000000.0,109669.0,222.905,407.13,1.72064,4575.9,12.3537,5.10829,1.0,23.0,0.120988,0.0965482,2.2862e-05,0.713278,2657.84,3750.98,0.0,10661.6,4405.99,5939.91,8.83798,17840.8,0.72314,0.448374,0.0,1.0,76.0069,28.7504,5.44367,177.148,69.1091,34.7677,4.00795,174.34,117.973,24.6823,22.93,172.437,113.109,29.4286,27.8389,171.444,SSp-m
18465_00302,5.0,581.0,3474.48,4387.7,3873.2,59046800000.0,82327.5,141.7,242.627,1.02569,3749.65,15.5921,10.1304,1.0,41.0,0.108491,0.0806644,8.28354e-06,0.5645,2258.78,1472.92,0.0,4558.54,5176.05,3581.72,11.654,11014.0,0.725694,0.44694,0.0,1.0,78.2155,32.0103,2.06308,176.515,68.9041,37.162,6.62951,178.083,113.102,31.0623,2.6872,166.574,114.755,35.2305,5.28731,174.283,MG
18454_01006,7.0,683.0,1620.89,3794.13,2505.04,15405700000.0,59100.2,86.5303,148.183,0.631313,2666.54,21.6589,10.0536,1.0,37.0,0.0916747,0.0888797,0.0,0.762975,2621.64,1494.87,0.0,3794.57,7202.53,4086.43,6.81913,10643.4,0.715976,0.451617,0.0,1.0,73.5485,26.9602,5.85541,173.46,62.8361,29.7127,4.73876,174.353,118.291,24.7343,16.9616,167.985,122.121,26.4003,19.5166,169.802,VPL
18457_00146,9.0,521.0,1933.9,2058.17,1598.38,6362020000.0,37204.6,71.41,160.776,0.44314,3375.83,22.9463,15.78,1.0,53.0,0.110625,0.0946538,0.0,0.770597,1968.95,1009.83,0.0,2819.67,4444.91,2337.42,14.1953,6989.22,0.722656,0.448565,0.0,1.0,76.4529,31.7754,2.0921,172.768,70.7231,35.2676,5.86686,167.565,114.461,27.7353,24.7939,169.042,114.716,30.2623,12.699,167.198,VPM
18465_00312,6.0,480.0,2399.58,2799.8,2869.75,19280000000.0,67149.7,139.895,225.876,0.46558,3100.99,17.9667,11.1148,1.0,40.0,0.13667,0.104947,0.0,0.704327,1929.1,1012.98,0.0,2912.23,7495.71,4544.67,9.14905,13478.6,0.742616,0.438118,0.0,1.0,82.0782,37.3558,7.58285,177.055,80.6536,41.8413,1.84831,171.649,108.647,34.4451,3.57084,174.729,104.161,35.4615,2.53186,171.937,MG
17545_00091,9.0,485.0,2106.93,2879.15,1417.46,8598550000.0,53039.1,109.359,222.255,0.375046,4049.59,11.5237,6.12659,1.0,24.0,0.128113,0.0789762,0.0,0.542225,1600.96,1019.53,0.0,2530.71,4883.36,3241.16,10.0129,8160.18,0.731092,0.444326,0.0,1.0,71.1114,33.7336,1.24626,163.535,66.6931,31.7598,4.2718,162.372,114.185,31.732,7.05275,173.088,116.268,29.7944,24.8247,168.027,LGd
18453_6229_x34471_y10482,9.0,349.0,1753.29,2760.18,10141.8,49080400000.0,63725.6,182.595,413.109,1.04239,6300.19,12.341,9.57283,1.0,36.0,0.139244,0.117188,8.89351e-06,0.691362,1887.25,3532.07,0.0,9820.82,2898.05,5050.62,6.64896,14597.3,0.717647,0.451474,0.0,1.0,82.1166,36.8172,7.33289,177.368,80.2663,34.8257,8.64759,177.171,103.765,33.78,9.77079,170.924,103.37,33.5583,5.40382,167.026,AUDv
17545_00081,4.0,612.0,1483.03,2932.79,2589.28,11261900000.0,52938.5,86.5009,148.636,0.381225,2297.32,27.1438,17.7554,1.0,63.0,0.135102,0.101789,0.0,0.72373,1895.19,1035.31,0.0,2847.07,5540.22,3189.45,11.196,8719.09,0.733553,0.44283,0.0,1.0,72.3695,42.2125,0.252837,172.747,70.5356,38.1391,4.7456,173.574,109.92,39.8798,1.08421,168.381,113.075,36.468,1.72739,166.709,MG
18454_00147,7.0,647.0,1779.68,3776.05,2822.17,18965400000.0,64240.9,99.2905,119.008,1.14023,1436.98,16.49,8.61003,1.0,36.0,0.0995542,0.0729937,5.76982e-07,0.544654,2236.67,1186.22,0.0,3443.41,4344.39,2467.56,15.7626,7424.25,0.73125,0.444004,0.0,1.0,76.3809,31.0839,3.24037,175.472,66.9153,32.1828,6.79626,163.895,115.05,27.6238,1.88447,166.668,118.719,28.7883,12.7368,164.521,VPM
18453_7024_x9012_y4138,8.0,590.0,6183.33,6117.92,7542.46,285325000000.0,89741.5,152.104,307.315,0.538454,3717.16,25.8136,23.2198,1.0,88.0,0.101774,0.103611,0.0,0.758261,2410.84,2133.56,0.0,6632.39,3453.91,3068.99,8.94239,11431.6,0.804124,0.397557,0.0,1.0,88.5852,49.0724,1.39099,176.941,85.0,55.7089,5.9629,179.581,94.3898,54.0986,0.258952,174.164,92.8119,55.6365,0.0765052,168.97,VISp
18869_3239_x6605_y6691,7.0,339.0,5732.17,3768.08,3494.55,75479700000.0,56510.0,166.696,302.335,1.64595,2245.61,11.6372,6.1597,1.0,22.0,0.126277,0.103266,1.04999e-05,0.696123,1912.58,1930.95,0.0,6640.08,3148.55,3092.48,17.4584,9510.26,0.728916,0.445865,0.0,1.0,75.3255,28.4872,5.39171,169.475,65.0768,32.6308,2.26713,163.691,116.742,25.9402,3.1784,171.916,118.026,28.0411,25.2875,165.24,SSp-m
18453_4283_x7739_y13735,8.0,592.0,5693.15,3758.07,3563.55,76243100000.0,155462.0,262.605,356.534,0.764266,2955.74,12.4223,6.19596,1.0,25.0,0.161784,0.137023,0.0,0.848246,1834.79,1503.2,0.0,4562.46,3685.48,2827.1,10.4609,8806.36,0.739726,0.439537,0.0,1.0,68.0512,37.1998,2.28033,170.92,71.1438,37.0684,5.65784,161.736,114.491,32.0594,10.976,170.144,107.487,34.564,14.6275,169.275,VISC
17781_6643_x22317_y12822,7.0,269.0,5172.8,3618.13,3521.83,65914100000.0,59198.3,220.068,437.407,1.19205,4867.26,10.1599,5.74265,1.0,23.0,0.143954,0.0996711,7.91214e-05,0.691039,2482.29,1967.12,0.0,5199.53,5818.46,4784.21,10.6944,13974.7,0.778626,0.416766,0.0,1.0,71.8515,37.5186,0.269791,172.647,68.7149,40.0831,3.78259,171.767,112.668,35.7844,1.85159,171.692,111.671,37.3557,5.18257,170.753,TR
18454_00157,8.0,648.0,2932.17,2344.68,2644.03,18177700000.0,56932.7,87.8592,107.476,0.646987,1254.65,17.7654,9.36866,1.0,38.0,0.102369,0.0760975,0.0,0.537799,2359.97,1341.87,0.0,3669.26,3927.59,2278.89,10.1666,6887.61,0.715625,0.451823,0.0,1.0,71.4556,36.1216,0.123673,165.205,62.2405,31.9671,2.48241,175.977,113.114,36.4295,0.467811,173.648,121.257,29.2155,7.42692,170.574,VPM
