S1,S2,S3,S4,tip_br,total,order,dist2soma,contraction,length
1,0,1,1,1,3,15,9955.7,0.835033,30.6402
2,1,2,0,1,5,15,9955.7,0.925432,50.3518
1,0,1,1,0,3,15,9918.74,0.799813,83.9161
1,0,1,4,0,6,15,9918.74,0.812271,419.511
2,1,0,1,0,4,15,9989.92,0.969793,34.8736
1,1,0,2,1,4,15,9989.92,0.788286,58.7337
3,1,1,4,1,9,15,10107.3,0.847114,187.921
0,3,2,3,1,8,15,10107.3,0.811348,167.379
0,0,0,1,0,1,15,9789.86,0.952113,15.6859
1,1,1,2,0,5,15,9789.86,0.950578,102.867
1,1,1,0,0,3,15,9808.12,0.957218,30.11
3,1,1,0,1,5,15,9808.12,0.982223,96.0052
0,0,0,1,1,1,15,10076.6,0.938428,11.3018
6,4,3,5,1,18,15,10076.6,0.774268,372.076
1,0,1,1,1,3,15,9893.75,0.970279,29.3272
2,0,0,1,0,3,15,9893.75,0.937971,34.6988
1,0,0,1,1,2,15,9845.03,0.920697,39.8121
1,1,1,2,1,5,15,9845.03,0.963672,94.3102
3,2,4,3,1,12,15,9892.36,0.950431,234.753
3,8,4,7,1,22,15,9892.36,0.889482,412.503
1,0,0,0,1,1,16,9953.45,0.840952,11.9908
5,0,2,1,1,8,16,9953.45,0.921914,206.151
1,0,0,0,0,1,16,9822.41,0.970218,23.3493
0,0,0,1,0,1,16,9829.7,0.958731,5.30521
1,0,0,1,0,2,16,9829.7,0.955601,14.7913
0,2,1,0,0,3,16,9929.37,0.777256,105.35
1,0,1,4,1,6,16,9929.37,0.868424,189.314
0,0,0,1,1,1,16,9975.04,0.958783,13.3866
1,2,2,2,1,7,16,9975.04,0.91229,172.195
1,1,0,0,0,2,16,9735.97,0.906445,44.2058
1,2,0,0,1,3,16,9735.97,0.63717,157.449
1,1,0,0,0,2,16,9782.12,0.971949,20.8616
1,1,1,0,1,3,16,9782.12,0.942602,70.4714
0,1,1,0,0,2,16,9811.5,0.960326,38.5981
3,0,1,2,1,6,16,9811.5,0.970279,72.7646
1,1,0,0,1,2,16,9844.92,0.969408,54.034
0,0,0,1,0,1,16,9784.4,0.933215,32.5885
1,2,2,1,0,6,16,9784.4,0.935762,106.853
3,3,0,2,1,8,16,9869.98,0.908186,100.505
8,3,3,6,1,20,16,9869.98,0.929693,275.233
1,1,1,0,1,3,16,10002.7,0.921461,35.794
1,0,1,1,1,3,16,10002.7,0.950625,94.7498
