name,arbor_id,stype,arbor_order,LD,ptype
18454_01040,1,VPM,0,0,TH_core
18458_00424,0,VPM,1,1,TH_core
18458_00424,1,VPM,0,0,TH_core
18458_00121,0,VPM,0,1,TH_core
18458_00121,1,VPM,1,1,TH_core
17545_00058,0,VPM,1,1,TH_core
17545_00058,1,VPM,0,0,TH_core
18457_00126,0,VPM,1,1,TH_core
18457_00126,1,VPM,0,0,TH_core
18454_01066,0,VPM,0,1,TH_core
18454_01066,1,VPM,1,1,TH_core
18454_00137,0,VPM,1,1,TH_core
18454_00137,1,VPM,0,0,TH_core
18454_00127,0,VPM,1,1,TH_core
18454_00127,1,VPM,0,1,TH_core
18454_00155,0,VPM,1,1,TH_core
18454_00155,1,VPM,0,1,TH_core
18454_00145,0,VPM,1,1,TH_core
18454_00145,1,VPM,0,0,TH_core
18462_00058,0,VPM,0,0,TH_core
18462_00058,1,VPM,1,1,TH_core
18457_00144,0,VPM,0,1,TH_core
18457_00144,1,VPM,1,1,TH_core
18454_01014,0,VPM,1,1,TH_core
18454_01014,1,VPM,0,0,TH_core
18463_00054,0,VPM,0,0,TH_core
18463_00054,1,VPM,1,1,TH_core
18458_00460,0,VPM,0,0,TH_core
18458_00460,1,VPM,1,1,TH_core
18457_00095,0,VPM,1,1,TH_core
18457_00095,1,VPM,0,0,TH_core
18455_5472_x13482_y11733,0,VPM,1,1,TH_core
18455_5472_x13482_y11733,1,VPM,0,0,TH_core
18455_00159,0,VPM,0,1,TH_core
18455_00159,1,VPM,1,1,TH_core
18455_00021,0,VPM,1,1,TH_core
18455_00021,1,VPM,0,0,TH_core
18454_00070,0,VPM,1,1,TH_core
18454_00070,1,VPM,0,1,TH_core
18454_00060,0,VPM,0,1,TH_core
18454_00060,1,VPM,1,1,TH_core
18457_00119,0,VPM,1,1,TH_core
18457_00119,1,VPM,0,0,TH_core
18457_00061,0,VPM,0,1,TH_core
18457_00061,1,VPM,1,1,TH_core
18454_01049,0,VPM,1,1,TH_core
18454_01049,1,VPM,0,0,TH_core
18462_00015,0,VPM,0,0,TH_core
18462_00015,1,VPM,1,1,TH_core
18454_01059,0,VPM,0,0,TH_core
18454_01059,1,VPM,1,1,TH_core
18455_00262,0,VPM,1,1,TH_core
18455_00262,1,VPM,0,0,TH_core
18458_00555,0,VPM,0,0,TH_core
18458_00555,1,VPM,1,1,TH_core
18458_00268,0,VPM,0,1,TH_core
18458_00268,1,VPM,1,1,TH_core
18465_00092,0,VPM,0,1,TH_core
18465_00092,1,VPM,1,1,TH_core
18465_00082,0,VPM,0,0,TH_core
18465_00082,1,VPM,1,1,TH_core
18464_00045,0,VPM,0,1,TH_core
18464_00045,1,VPM,1,1,TH_core
18455_00200,0,VPM,1,1,TH_core
18455_00200,1,VPM,0,0,TH_core
18455_00210,0,VPM,1,1,TH_core
18455_00210,1,VPM,0,1,TH_core
18454_01082,0,VPM,0,1,TH_core
18454_01082,1,VPM,1,1,TH_core
18457_00013,0,VPM,0,1,TH_core
18457_00013,1,VPM,1,1,TH_core
18464_00184,0,VPM,1,1,TH_core
18464_00184,1,VPM,0,0,TH_core
18455_00256,0,VPM,1,1,TH_core
18455_00256,1,VPM,0,1,TH_core
18457_00194,0,VPM,1,0,TH_core
18457_00194,1,VPM,0,0,TH_core
18458_00561,0,VPM,1,1,TH_core
18458_00561,1,VPM,0,1,TH_core
18455_00048,0,VPM,1,1,TH_core
18455_00048,1,VPM,0,0,TH_core
18455_00199,0,VPM,1,1,TH_core
18455_00199,1,VPM,0,0,TH_core
18462_00031,0,VPM,1,1,TH_core
18462_00031,1,VPM,0,1,TH_core
18454_01105,0,VPM,1,1,TH_core
18454_01105,1,VPM,0,0,TH_core
18457_00055,0,VPM,0,0,TH_core
18457_00055,1,VPM,1,1,TH_core
18462_00021,0,VPM,0,0,TH_core
18462_00021,1,VPM,1,1,TH_core
18454_01115,0,VPM,1,1,TH_core
18454_01115,1,VPM,0,0,TH_core
18457_00045,0,VPM,0,1,TH_core
18457_00045,1,VPM,1,1,TH_core
18457_00027,0,VPM,1,1,TH_core
18457_00027,1,VPM,0,0,TH_core
17302_00115,0,VPM,1,1,TH_core
17302_00115,1,VPM,0,0,TH_core
18464_00119,0,VPM,1,1,TH_core
18464_00119,1,VPM,0,1,TH_core
18455_00142,0,VPM,1,1,TH_core
18455_00142,1,VPM,0,0,TH_core
18454_01042,0,VPM,1,1,TH_core
18454_01042,1,VPM,0,1,TH_core
18454_01052,0,VPM,1,1,TH_core
18454_01052,1,VPM,0,0,TH_core
18465_00089,0,VPM,0,1,TH_core
18465_00089,1,VPM,1,1,TH_core
18458_00273,0,VPM,1,1,TH_core
18458_00273,1,VPM,0,0,TH_core
18463_00012,0,VPM,0,0,TH_core
18463_00012,1,VPM,1,1,TH_core
18465_00287,0,VPM,1,1,TH_core
18465_00287,1,VPM,0,0,TH_core
18458_00444,0,VPM,1,1,TH_core
18458_00444,1,VPM,0,0,TH_core
18454_01089,0,VPM,1,1,TH_core
18454_01089,1,VPM,0,0,TH_core
18455_00015,0,VPM,0,1,TH_core
18455_00015,1,VPM,1,1,TH_core
18454_00161,0,VPM,1,1,TH_core
18454_00161,1,VPM,0,1,TH_core
18454_01030,0,VPM,0,1,TH_core
18454_01030,1,VPM,1,1,TH_core
18457_00018,0,VPM,1,1,TH_core
18457_00018,1,VPM,0,0,TH_core
18457_00146,0,VPM,1,1,TH_core
18457_00146,1,VPM,0,0,TH_core
18454_00147,0,VPM,1,1,TH_core
18454_00147,1,VPM,0,0,TH_core
18454_00157,0,VPM,1,1,TH_core
18454_00157,1,VPM,0,0,TH_core
18458_00578,0,VPM,1,1,TH_core
18458_00578,1,VPM,0,0,TH_core
18455_00139,0,VPM,1,1,TH_core
18455_00139,1,VPM,0,0,TH_core
18454_00135,0,VPM,1,1,TH_core
18454_00135,1,VPM,0,0,TH_core
18462_00028,0,VPM,1,1,TH_core
18462_00028,1,VPM,0,1,TH_core
18454_01064,0,VPM,0,1,TH_core
18454_01064,1,VPM,1,1,TH_core
18454_01074,0,VPM,0,1,TH_core
18454_01074,1,VPM,1,1,TH_core
18454_01080,0,VPM,0,1,TH_core
