ptype,PathLength,EucLength,OrientX,OrientY,OrientZ,Volume
MOp-ET,1.3421881711360337,1.1959117356664686,0.24566289897373197,0.31643795567805144,0.29147947856900225,2.8067005347283076
MOs-ET,1.5328872310704176,1.9231106433465646,0.5454550230423524,0.4451152068742455,0.28943493480525667,2.012115431871853
RSPv-ET,0.7182466711285526,0.5075513905231313,0.5752377265830051,0.22028431509369123,0.2947013201217933,0.5288951587481473
SSp-bfd-ET,0.6425829606359514,0.7913235647487533,0.2636587454749405,0.2657938049635728,0.31244371993878367,0.7188270449924016
SSp-ll-ET,0.9060667567498075,1.092253866386854,0.2566001850311449,0.29819123630317246,0.22551740715412052,1.8774369447358967
SSp-m-ET,0.7419785154539158,0.8497606362406573,0.15457941931249364,0.32844404335276045,0.17873640236306532,1.1879547791347291
SSp-n-ET,0.6389042724427713,0.8578615364697338,0.18702081446482458,0.15009978932252063,0.1990981911957081,0.37044785991214
SSp-ul-ET,0.7341237462361693,0.7410336228224242,0.16283689235093507,0.2542573246566267,0.13558571987227244,0.8251083130829038
SSp-un-ET,0.7908759294353856,0.7003754365006124,0.32746755528137367,0.16234876583296906,0.2789172151704016,0.6268831200935463
SSs-ET,0.5665666488219777,0.769454170234748,0.2762212780684151,0.4437739688607403,0.19745204283049267,0.36488185163613335
MOp-IT,0.5787197592181742,0.7989700189738258,0.6207722935777086,0.5218201031224541,1.0481748842350682,0.6062940703165451
MOs-IT,0.5681625892361816,0.7176212657893523,0.5396109826973962,0.40810688171463183,1.0727874929713217,0.4840914375030056
SSp-bfd-IT,1.326502608122597,1.8679200923512806,0.6318922835755991,0.7728502213499603,1.2625564420828697,0.6338531916023832
SSp-m-IT,1.1520462137430254,1.5613927735200503,0.7340501046784761,0.7169725175244429,0.919754212803981,1.1116483064091978
SSp-n-IT,1.4213382052130912,1.7454353142181938,0.4486162208881336,0.7799125299923815,1.583191505193577,0.8997761582369485
SSp-ul-IT,0.6052060737224947,0.8049723809053072,0.5567028447695351,0.845364805413368,1.2127316006704245,0.4028079471807332
SSs-IT,1.3318621456252804,1.5305260518992019,0.5874104427593715,0.7667026299734814,0.509740917853046,1.989071704202767
VISp-IT,0.7702128555166418,1.0028923277277593,0.7971541310644249,0.8245027041581809,1.1088847359587992,0.45809797383232154
VISrl-IT,0.8085942677673632,1.272886783020378,0.5793492820226501,0.25196947382857376,1.2708244426172766,0.4464466610149171
LGd-core,0.5192085526311723,0.280837533486129,0.5345871018495482,0.4793723633581672,0.5727378411426461,0.4314532672774043
MG-core,0.5276587004076025,0.25728014082220974,0.412881637711259,0.5669204856305942,0.5324763296535896,0.46797970750056334
SMT-core,0.6289579690721171,0.36123774116223606,0.05267593868753617,0.1687867169621157,0.1934407595960648,0.2329806309142524
VPL-core,0.4992543368801935,0.22989644666636277,0.41022352946558505,0.23015811548519363,0.39412146491945205,0.2638579065128443
VPM-core,0.32224236566422076,0.25242012748960313,0.47011516835698447,0.4367140695297408,0.36660364947893154,0.12950957530372004
LD-matrix,0.7313037808408249,0.17988742164606392,1.127343315288992,0.2805639103171028,0.7012941375171332,0.8935667464331879
LP-matrix,0.8404802117047878,0.25267265056106514,0.8482223464546285,0.7903792952204287,0.9739435172574018,0.57613394178779
VM-matrix,1.1050924890303202,0.31193140318234325,0.26701850693259105,0.35498220008898035,0.37254630951954276,0.8045550924081043
RT,0.3685383773018462,0.36025158998373175,0.45103220171050107,0.6864755961995826,0.5401720926780554,0.03922302552322046
CP-GPe,0.2432550351102054,0.27867193994065775,0.5754079165732693,0.4333560935737843,0.6435176240441381,0.022279253460065537
CP-SNr,0.4385571753027743,0.4446370515351209,0.23941689236975575,0.45062649402896515,0.31662689718450654,0.11389026580148337
ACB,0.7184329153600403,0.8117654623247587,0.19982251949181476,0.5645554626410368,0.20355865456446479,0.2046912460482426
OT,0.22552905590453626,0.15652790184627707,0.3980405172694883,0.5342825514117522,0.8326307883324697,0.011544315044776298
