ptype,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
MOp-ET,0.7676397450214273,-0.2999143153521517,-0.8720859141514874,0.7858560571964367,0.6080844682490001,1.67344136787952
MOs-ET,1.180153204241488,-0.35658707846514215,-1.1396707149968757,0.7689342675406002,1.1385069622464656,2.3829016358724404
RSPv-ET,1.204919665864375,-0.19225344361185626,-0.641068523856704,0.655889713135088,0.056482375375760445,1.9473427193703599
SSp-bfd-ET,0.008891295928724355,-0.20168505195366268,-0.713211570415852,0.2704241819805779,0.22336884245021313,0.6990010457532289
SSp-ll-ET,-0.017835514787537005,-0.3961502264682285,-1.093480911322867,0.4906330202102291,0.7247152242754533,1.229951562778697
SSp-m-ET,-0.401777201677754,-0.20047997347320923,-0.8495073772925547,0.022572478564153012,0.36970342856958954,0.3140604234747714
SSp-n-ET,-0.30594220462037913,-0.2543253911719324,-0.8591669336868768,-0.013318618174962375,0.29152744310025547,0.4170240536142945
SSp-ul-ET,-0.09754201638627458,-0.03310916879041159,-0.7053003886830337,0.28484750417410454,0.25314716421455513,0.5603285824734039
SSp-un-ET,-0.20189290658743256,-0.2230947184560834,-0.8621136724072299,-0.14730181122712976,0.4262841238295239,0.6827888162257338
SSs-ET,0.025944589140788846,-0.2698996140341723,-0.6358701266577186,-0.061806818182076034,0.14480681146277333,0.7453217015460725
MOp-IT,0.47854873789233465,-0.5272755980859417,-0.6908156275336061,-0.7608727976258602,0.7750261793090162,0.228222842166349
MOs-IT,0.8499391559105021,-0.5269749595385979,-0.6361644630003049,-0.6978549167046475,0.6349085088278171,0.34454275472026563
SSp-bfd-IT,-0.2964808274576317,-0.49708343872086436,-0.6630579799496432,-0.8902689161974132,1.0859820277064454,0.0043070105000594825
SSp-m-IT,-0.1402838083246622,-0.48986198044467144,-0.3098410907570675,-1.0016873273001767,0.5658768174764176,-0.16548336725016438
SSp-n-IT,-0.13910141716581093,-0.4349161715653159,-0.11777558029906873,-1.0554466681776282,0.3776011103453844,-0.06135251908629611
SSp-ul-IT,0.16819761346125386,-0.49911108008457133,-0.3353520233989607,-0.91647574339916,0.14895917637990316,0.41479073628142527
SSs-IT,0.25878605288443673,-0.5317951558088997,-0.9093369527090375,-0.4095518921074485,0.9774068773055687,0.6827888162257337
VISp-IT,0.1222638393001899,-0.35805532718869987,0.19406451442492106,-1.061346617317429,-0.19676966748880115,0.2109497724449967
VISrl-IT,-0.2759922558343207,-0.4877251826696404,-0.5837978309575631,-0.9604925629115998,0.44510756839657895,0.6738555468942569
LGd-core,-0.019283820034882066,-0.45663641047068,0.03840240656388723,1.74737367466843,-0.1946761642581415,-0.3449952732700886
MG-core,0.12457841730780465,-0.461396614663759,0.31814049908077,0.8155634545164044,-0.4604520650479616,-0.011453828963332007
SMT-core,0.7036094077703832,-0.43446639500306483,0.02131282050880804,1.2060276021904415,-0.08895603274874017,-0.17824091241585222
VPL-core,0.13653228228171527,-0.37798594050453904,0.370168972633897,0.7941314668475267,-0.42055492640547004,-0.22550134305218505
VPM-core,-0.17727792493111888,-0.3148662010032765,0.42015598387307096,0.328941737035206,-0.5097458591875781,-0.4959064427885859
LD-matrix,1.363832067095567,-0.3001457856534981,-0.27329907708588125,1.726983708487425,0.4570844223957825,0.4237240056129022
LP-matrix,0.6451071555366654,-0.3997449629454091,0.14923946345450995,1.7218011156651485,-0.38582895895492314,0.36621608429151936
VM-matrix,2.8565532712447737,-0.3232085568331911,-0.02689155929279359,1.9969323087851565,-0.2365201426027784,0.5212455291481922
RT,-0.41240170561104905,0.1603874896303388,0.8528055369612886,-0.8305776146368773,-0.5482367904021421,-0.6432761930673299
CP-GPe,-0.5794661950436071,1.0229091566732575,0.9113033949548311,-1.1273588793523484,-0.45383681622728705,-0.7721429822274787
CP-SNr,-0.9032498022226805,1.9847867938272012,-0.14133119265904892,-0.2230272651450659,0.2453581966744537,-0.5309744878420394
ACB,-1.0633981158493186,2.997732541600452,0.2149238238266078,-0.9624909961538717,0.003582665718724762,-0.6859865624527899
OT,-0.9700879294177766,1.0853416740240842,0.3033661134598054,-1.188879933717947,-0.2946861277223867,-0.8035697656192387
