cstype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
MOp-2/3,0.32127750931301613,0.1588211481361484,0.16123004472737457,0.16361427868007813,0.34195677425601856,0.04610732170509846,0.8983478489337099,0.647300529630243,0.2523082486771234,-0.036008384865290184,-0.2014920973209126,-0.21115211550894544,0.050593546032756787,0.6735987239230327,-0.071856516453133,-0.24311428310737138,-0.25620099820713105,-0.28534034625182714
MOs-2/3,-0.03731363290586165,0.25161260344143477,0.250424611362658,0.24922916743778262,0.6315093136672121,0.8530133310479664,1.4030537630678503,1.12098076628629,0.49630771540840046,0.749490666840691,0.3453740943198182,-0.26408498146236264,-0.0207271421240879,1.1130563398955586,-0.071856516453133,-0.46470226118303204,-0.5275500270318895,-0.3152433287151452
SSp-bfd-2/3,0.16190366832684824,-0.20944856024775363,-0.20726845069972852,-0.20508231289611548,-0.6224648523601539,-0.44638987637045335,1.78788281011618,0.04144374499870934,-0.05977986926555387,0.950498681510704,0.2705818321296798,-0.36984279723065794,0.7022524513029283,0.2684538070642611,-0.071856516453133,-0.3312120183876604,-0.7712990156630884,-0.011482791945708583
SSs-2/3,0.3419654598256437,0.10945335592140644,0.1122169955542816,0.11495745615013962,-0.10077402300370181,0.08684340210397085,1.1925877886410072,0.4615587201758202,0.15663001191167464,0.5841578999638204,-0.06970253913175996,-0.30704390584234126,0.266972493320401,0.5362332544379073,-0.071856516453133,0.11356040023353348,-0.6631628134176547,-0.042826601508868065
VISp-2/3,0.17186453338848373,0.10454934059542902,0.10577040494737577,0.10697920693271713,-0.41591484261676304,-0.4223116080916467,0.26260917911088955,-0.01660885819040933,-0.08968380702900307,-0.3786333516892314,-0.403816121313094,0.8758331899259061,-0.0367650671624803,0.18224581668496717,-0.071856516453133,0.9216427086678973,1.0692710766512543,-0.22446553810421646
VISrl-2/3,0.4109252948677356,-0.4961502608426084,-0.49072883179750015,-0.4853008204975161,0.26334755175095126,-0.2779879345877799,1.4013871741277728,0.07135628640487794,-0.04437080343595205,0.595054914972548,0.004946841666382544,-0.5496310840367599,0.24845073828330105,0.661135217600726,-0.071856516453133,0.16936812506552662,-0.17293592940002955,-0.4871566634421599
SSp-bfd-4,-0.5303764534568186,-0.4738919499018577,-0.4771720309623893,-0.4803878986109981,-1.058512827513272,-1.0903566372683664,-0.7726633168600092,-0.5040302914948727,-0.3407631288359152,-1.3195370818684204,-1.3462321874973502,-0.8881100525645744,-0.23305922464441733,0.023225823370878106,-0.071856516453133,0.21839167013301344,-0.1270968923693033,0.4399323335987201
SSp-m-4,-0.3895013618708309,-0.5856545799694366,-0.5872696862293498,-0.5888231031062896,-0.816398573114345,-0.9832204010732533,0.09991425261894209,-0.31117258202317377,-0.2414189697075897,-0.6368437585275947,-0.8526578144477328,-0.8409352834317779,-0.5750995483373942,0.17585916484282177,-0.071856516453133,-0.1446631730718772,0.11597342725591216,-0.06084879103347093
SSp-n-4,-0.7096720245662574,-0.882235777777852,-0.8857931793661334,-0.8892521756112237,-1.1090314334266227,-1.2227559923636202,-0.7282331675796238,-0.6332900935826226,-0.40734688529388463,-1.4059324513521851,-1.3033599967823701,-0.9706658985469682,-0.3780187926582643,0.014315498337434146,-0.071856516453133,0.503569004724801,0.22152871782947428,0.08462553270121574
SSs-4,-0.8441437028983367,-0.7813863936388951,-0.7865135772908269,-0.7915396180904756,-0.8711030695827784,-0.4619450202236367,0.6442571432515781,-0.3251840092156951,-0.2486361092436385,-0.10934007401358933,-0.42666424641735406,-0.6321869300191537,-1.1124843151308847,0.5225534160674109,-0.071856516453133,1.023896744560012,0.5321824893280566,-0.31975512774930676
