ptype,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
MOp-ET,0.3905038521585907,1.0675865146203112,1.0046592058702808,1.029272497666219,1.052606569604763,-0.39191829929400507,0.2486424811240394,1.4149553616622637,-0.5305634740310539,-0.43852532141517964,1.292128437260958,1.8594907787257842,1.9811206172106086,1.2978512763483758,1.132646970089178,1.62514945320591,2.0284473625932615,-0.16953713056135145,-0.1473328503561769,-0.14768028397093597,0.5050179465707313,0.8368669209828861,-0.1843656932424495,0.10383045613689502,-0.0932279642706508,0.10895091678663392,-0.4377378386712581,2.6442812852073194,2.6836799930966944,2.5492034017797085,2.6636002567030195,2.62504882549821,2.409739902206501,2.480436231745951,1.898001718847478,1.575335356070624
MOs-ET,0.8413248939377089,1.4949388795582903,1.4928146132647198,0.8070259704764648,1.504462594981711,-0.9486188998920757,-0.8014965004294441,0.886500765822212,-0.47882956233944823,-0.3950807530628285,2.473759029200915,3.132688298538146,3.8417828854269884,2.4566252256269188,0.7118963388396756,1.6561148500648792,3.61603364775416,-0.5347030122880151,-0.28363636138532256,-0.28392264418770014,0.2619617945896199,1.5913739734688381,-0.2232331390128581,0.46120249767697075,-0.0932279642706508,0.3000434798247637,-0.49675795928341004,2.802159498871341,2.770362064078548,2.803412966443037,2.750197099428338,2.71717719060385,2.247560323080014,2.0026780854167763,1.8980017188474783,1.4053932531426598
RSPv-ET,0.7204483444900986,1.347767106720876,1.1655444802044368,0.9817902373727995,1.3463214791779643,-0.09324024328818113,-0.623176428273287,1.1317803221262235,-0.7462899398294763,-0.20813437097638868,1.5444447949224882,1.662665327256026,1.3823525253503235,1.5260716794306857,0.6124945722431152,0.5643682881591473,1.6488071639678297,-0.48074234127658655,0.9488211883989656,0.9479819794112979,1.2945397897694262,0.9259432447021457,0.9647587904044139,-0.035886771293833934,0.11541141930280203,0.3000434798247637,0.11120498264337542,2.4724930687008007,2.4294226306107354,1.7300191721509086,1.6109638349736013,2.37820330121516,1.0254447007839527,-0.11127528861869831,1.8980017188474783,1.2051909173663051
SSp-bfd-ET,0.013933803166295186,0.305884985041545,0.22077167874382955,0.23418244976913544,0.3098747493621541,0.6226249454254593,-0.2073491790751667,0.646496038686029,-0.14802010562221227,-0.5956519194210074,0.14459748782249143,0.5025373921644204,0.5810663945106468,0.13503802790023473,0.768957032803901,0.007430630629318204,0.7501975355716047,-0.15217174473108241,-0.7644766098064649,-0.7645471698325571,-0.27965099143878286,0.21532605331612656,-0.7381485598713954,-0.028966742830764756,-0.0932279642706508,-0.10337415325573253,-0.2208421769697734,1.9088034253390531,1.9484331989304622,2.3354856920390623,2.1647673916235237,1.9558751767308893,2.6051838739619195,2.9512707690784055,1.898001718847478,1.846198455724802
SSp-ll-ET,0.32301131279847944,0.6258461553682384,0.6671943948931761,1.062911936112495,0.6206243471805953,-0.6584698234768732,-0.7549043629524282,0.9577109595878929,-0.25671999760935055,-0.7177730121303312,0.1842992415535928,0.7341478747106821,1.3819929403834246,0.1686147022475215,1.1801538046130553,1.5188065204163903,0.9930650027057195,-0.2308751950092418,-0.33181201158818296,-0.33207668100639554,-0.04791137140398283,0.2022499138099602,-0.38377258893411115,0.2150027422754638,-0.0932279642706508,-0.15380135739079454,-0.35682303407056915,2.018732591183655,2.038141545315275,1.9486957600203225,1.338941437731934,2.1170266979156764,2.5142003963434196,2.2458539341881547,1.8980017188474783,1.7836172473384053
SSp-m-ET,-0.1168243228827072,-0.11370382710071686,-0.12946910756438515,-0.106060636409882,-0.12141631221661782,-0.0035794688508801074,-0.30591468159645296,0.343829978849266,0.1759924556013568,-0.700347630140686,-0.1014758182203058,0.24851253595685974,0.44703079928921835,-0.10231432524437849,0.7453321005800054,0.6239959927483815,0.5408290294215056,0.18034082630311862,-0.680400779691639,-0.67907296495994,-0.030240166267355397,0.6475297129834038,-0.7004228142960308,0.27074830705485936,0.5686780560510298,-0.7641444143358556,0.03973439149497783,1.991229426039183,1.977721690596817,2.0435168672016317,2.230609451026633,1.956641652455906,1.8026577084274225,2.028561568399623,1.814397094344941,1.4253146249511566
SSp-n-ET,-0.07894615828908624,0.13690861549900285,0.1141293897773342,0.16342054073710285,0.15173363355840727,-0.2508185177502503,-0.2564294895149756,0.886500765822212,-0.08956419216039968,-0.7945737697883968,-0.14143778633463264,0.30222610639742914,0.3228114116115866,-0.13357536687805924,0.31007672143645215,0.022047579660875102,0.5832261519169007,-0.11942166507810299,-0.7692989972141587,-0.7693673937383324,-0.23283092374052347,0.5679244580175196,-0.7369593787608677,-0.36361938622963125,-0.0932279642706508,-0.6076461946063528,-0.1472320106070768,2.0318078664162726,2.0832343045353006,2.4018261974487918,2.6611949317609014,2.067014156858329,2.584052439816124,2.893396103074253,1.8980017188474783,1.7204306814559063
SSp-ul-ET,0.11308210725072247,0.30743981197128256,0.26297376888712304,0.2908801963968528,0.2997315874155581,-0.4204574301076221,-0.4125570605915343,0.6728701845251699,0.12122291166662158,-0.6439840488902289,-0.06140943286939798,0.2390995770568692,0.29929157498912456,-0.0688203520654348,0.7769818349503391,0.8252015967606305,0.5559035618643128,0.11998053069069503,-0.787527621615241,-0.7737055952535302,-0.07238163671297601,0.5191259610546002,-0.747662008755618,0.38952097460074403,0.7776923501822616,-0.45636458220116677,0.14348214862943454,1.7150956441150849,1.8098147168837169,2.3524753272768666,1.775055984434973,1.783609757533358,2.5063869263135277,3.06878189052525,1.7969794642402457,1.897882892988994
SSp-un-ET,-0.017920226443808064,0.1957143911630029,0.1897262426998891,0.2847285066554009,0.19737786231808926,-0.6471044351708268,-0.7374982682308916,1.1001313471192542,-0.5085435174209966,-0.8003822304516118,-0.019448620511950603,0.2938505140791252,0.31838756872742835,-0.025650342190351835,0.09521087867199265,-0.1013677368347541,1.1570005430212469,-0.3409829349143046,-0.8187766920170965,-0.8188228910115871,-0.5827314471543302,0.07309838814984228,-0.7690672687451183,-0.03682873841779625,-0.0932279642706508,-0.15380135739079456,-0.4397463944268057,1.652624884670355,1.690283117046506,2.098436776100516,1.432540412630333,1.6669138283995464,2.5374001284799377,2.932027383230396,1.8980017188474783,1.9876491743846056
SSs-ET,0.26008679640690374,0.3756935410705752,0.19676414443016715,0.13962303348750957,0.3720510148010283,0.5273350460580661,-0.04137656255226173,0.5982690291515997,-0.38029621247467865,-0.608272772220092,0.10779337159995532,0.43988553967537236,0.847509210487341,0.10077611530096256,0.8201415494614602,0.4904178746002631,0.6808068306761432,-0.46982709234870007,-0.5761003794122114,-0.576255452004671,-0.061873066410327665,0.46712680330349154,-0.5641883517027573,-0.12001320739805955,-0.0932279642706508,-0.045743062815661636,0.05623046324139349,2.424896299600054,2.3841594527995533,2.228613915817343,2.4532724799125827,2.3432739074608215,1.8684481843320964,1.5088594063315997,1.8980017188474785,1.3241178990815425
