cstype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
MOp-2/3,0.5925183598104975,0.6441487335152332,0.6401320827204728,0.6361325271984768,0.7239916647241004,0.7112079475471675,1.0066122992472912,0.581574313645401,0.2995797278480771,0.7401857947252379,0.5786098211431226,0.4458659346882109,0.4935693445666975,0.5771583907022765,0.0,0.6384199790794679,0.4580207870351802,0.8662149809106624
MOs-2/3,0.6137764297338203,0.5420018187149067,0.5390648646223273,0.5361613652908334,0.8319254996727002,0.8164842063798639,0.6696944478987253,0.6148091529641716,0.31669844500039973,0.6387688322395583,0.45666171589633414,0.4683458229941672,0.49589642830362884,0.4108374262382631,0.0,0.5931403708664759,0.5035943046310128,0.4177018759937394
SSp-bfd-2/3,0.712654474673889,0.2641168841383505,0.2624298731950211,0.26089347949735253,0.5589690821549381,0.4933561763901038,1.7040861367647977,0.40751322521843664,0.2099170008597795,1.486004406317976,0.9467128706518202,0.547267705938742,0.6916267574539412,0.4940785496593803,0.0,0.7149347027488897,0.4530448925820072,0.7790371895719909
SSs-2/3,0.40283995981435955,0.5790132650039213,0.5758534110863587,0.5726903720052625,0.49174731110425446,0.6218598440518365,1.6368657202676336,0.5020337145653404,0.2586076925501661,1.413196495279609,0.9431347921890338,0.5017324149002518,0.6107422169930137,0.5309748023116534,0.0,0.8076921420270938,0.8560556983506377,0.6884883430052761
VISp-2/3,0.3737458259697302,1.2896538071691237,1.2861224877734696,1.2825218744457556,0.6749754779508257,1.0293883735018896,1.2427589112611412,0.3725499104754688,0.19190723835095097,1.082935572349912,0.7854999093731799,2.5656652835459655,0.722362062132609,0.6113376828821961,0.0,1.3640740924803911,1.376416419378132,1.0377432203181942
VISrl-2/3,0.44823892777359725,0.5047614289114358,0.5062165894098074,0.507635576918316,1.2001569842616766,0.8614024337332541,1.3038543821456994,0.6688417773885826,0.3445326750197088,1.0920128281870636,0.712235453508693,0.2517614936096843,0.45087476864852044,0.5488085244684647,0.0,1.8717401392699065,1.1323208931531887,0.30401357646926175
SSp-bfd-4,0.6830640973800779,1.069736224556157,1.0695713366364383,1.0693485390896822,0.16147992377004833,0.1508147541724572,0.20508985314533376,0.31269297898669646,0.16107334212131622,0.1709490028147234,0.20309534206508487,0.49111284789628423,0.8887093861917637,0.5777029249769693,0.0,0.8909556581937932,0.7490616376466656,1.1332420472444282
SSp-m-4,0.6620169818691648,0.34507367992062987,0.3467887600761885,0.3485462883070206,0.3469878856175194,0.22743724958412118,1.4359194240038298,0.34857735935457235,0.17955821677139744,1.3210627917787183,0.9072637257195971,0.5285799166785096,0.7743524561394974,0.3650206217532648,0.0,0.774474942276552,0.510684349985944,0.5556654516036491
SSp-n-4,0.6178547233015913,0.253149230370579,0.2489320487121217,0.24480764709683664,0.08683470094405417,0.11875973448778827,0.1560323007907134,0.15353195903383604,0.07908722054710514,0.09774778314631459,0.2543484265493764,0.1864373495304267,0.5029992682513954,0.2084019086408963,0.0,1.0232729829122966,0.5879451295405356,0.7483859373025583
SSs-4,0.49102114378705625,0.41134921438173616,0.41025717526191063,0.40918901600068897,0.2862183728878205,0.7986770251890638,1.891753008690221,0.4539954413391277,0.23386108496167277,1.7761727057064227,1.380307166284433,0.9314553338497175,0.4167035162749748,0.4596080618205387,0.0,0.5477523343667282,0.3350215125194268,0.5365851811657901
VISp-4,0.5229454157358635,0.8670043458926621,0.8664411897911869,0.8658333843843288,0.2621015194118249,0.26645277129273226,0.5926396685950391,0.33281788130942985,0.17144041276032237,0.48048247942134226,0.3733516348306967,0.5172108926302185,0.77358414396423,0.5716269929788009,0.0,0.7057609482724432,0.3983768602026254,0.9821959101138626
MOp-5,0.7796833691963195,1.2765974101440098,1.2738709919832587,1.2711002433730498,1.7915357607373898,1.279872893561482,1.0352631897800626,1.228906667414073,0.9799293519992002,1.6300270050777506,1.5569148004119826,0.8296174732117113,0.6337707049291212,0.8857185687125124,2.6703976582320266,0.6948017280535461,0.3789073976695287,0.6622233404184046
MOs-5,0.9361547819631204,1.5082102531325652,1.507041063383877,1.5057992042228239,1.8149835125945102,1.1089330373565238,1.1203095975073034,1.3890358653099637,0.7155178743608743,1.7927216397154004,1.3614953932054588,0.8333254166361281,0.6535390407121435,0.6506971529339963,0.0,0.4917388530150048,0.4935779214596385,0.5432187834946645
RSPv-5,0.8051682143248746,1.1104955432589116,1.109801948963789,1.10906584420362,0.8969777090308887,1.4096104135835408,0.6689964278678747,0.9526434208666286,4.15056355213527,0.8990964679730489,1.117253826309355,0.7763908050284445,0.6333934199010326,0.5672412230731153,2.857847298360219,0.6967330600124505,0.5782233690297562,0.8557774593765972
SSp-bfd-5,0.6740209192755393,0.8741694129253835,0.8742966519943737,0.8743866476591414,0.9715833687070984,1.0568746632868948,1.2648577901464413,1.0970399677443274,1.777730794074871,1.0380088384139636,1.0516201379527117,0.5257289278719273,0.40781551227483726,0.6684247911172158,2.5612982130862325,0.8910094312064176,0.4813459508227606,0.5363747928753008
SSp-ll-5,0.8611449216377809,0.5782138925139684,0.5767850949122519,0.5754273960025789,1.8666495985306015,1.7318748731348677,1.229121979341953,0.8321575474436828,1.3231998604928916,1.7623185889629136,1.8357681643350858,0.5736942839144672,0.7977598365878726,0.837055867688178,0.12516105120986773,0.5567305369382078,0.504675068554246,1.1976249107177541
SSp-m-5,0.7728185294208642,0.7745681354340187,0.7762918564996426,0.7779828253397412,0.879640774463953,0.6488365167314526,0.8901392532046846,0.7550465948150832,1.7512350396816814,0.8643936285143565,0.7616074734270348,0.5026502281485135,0.4774518243958297,0.5549213215694172,2.2479865374157777,0.7772904556278242,0.6464433048651613,0.41708992211252316
SSp-n-5,0.7461854621552347,0.8807085337122094,0.8821016060330878,0.8834469209917971,0.7641756078814786,0.38041580407515035,0.9797223610602815,0.9464365461514108,0.9458155568725828,0.5537030413037958,0.6094888736078671,0.5410873915909583,0.3268991268268366,0.5717434051745647,2.0856694074647883,0.570784190926512,0.5466577020138279,0.31431282996739235
SSp-ul-5,0.9897237953176454,0.8024956637553005,0.8049947125332119,0.8074813873945242,0.9344903401181045,0.7735423972433625,0.6805057172584807,0.7131927931707805,2.132665724630724,0.8543103263918773,0.8174750087283555,0.6497226980540056,0.5926743662622765,0.4535104262035478,4.398420707160993,0.7411881162302209,0.4779491005383316,0.5563355065609837
SSp-un-5,0.5540381430019891,0.7197477612467548,0.7175136619262509,0.715273641816742,0.7333020797274203,0.692653885634303,1.1722111860731297,1.1012257670043997,0.5672600837798493,0.91252985482247,0.7549214947264031,0.3903862582688075,1.22559903500601,0.6593833069692915,0.0,0.8608529801324477,1.1027011485658007,0.5707329280686816
SSs-5,0.8016778258111483,1.0845941805552528,1.0830100435369852,1.0813966749732071,0.7909192591873637,0.8781948582059457,1.3984036119473162,1.1954951840881416,1.0983711069047837,1.1025182418114283,1.3150100602149126,0.9356275108839357,0.7379039544803715,0.8696236702436578,0.7468635267559456,0.8599801997403644,0.5199095795695414,0.714233382115305
VISp-5,0.5240115644791499,0.41735766328171925,0.4152367302576161,0.4131514480346414,0.9451614191324144,1.581867879292745,1.041674366489066,0.6670911267858259,0.3436314666324904,1.110616596910889,1.2789860005659417,1.3057575723508146,0.7128516237393873,0.8924144935735459,0.0,1.3023712022987064,0.6536208219565255,1.7892971749277453
AId-6,0.595450600072244,0.6336630935033007,0.6302547335226228,0.6268640723405208,0.7702870868843699,0.6233601570117767,0.773825669354541,1.379184876134575,0.7104435127497789,0.5005980991032505,0.4545413622649687,0.40852156333865813,0.5085382219125257,0.8144480543109247,0.0,0.49765762782352324,0.6792191689579088,0.7969725107520097
SSs-6,0.5896973192541266,0.45344270431889105,0.45472022436617593,0.4559997740913286,0.4619834269401085,0.5976605633982744,1.1277699837144755,0.8826471443644338,0.4546675787734633,0.8844129697255603,0.5996776961752825,0.49054911751202485,0.5889107488829612,0.9013278023027994,0.0,0.5772835497137265,0.5480483614430448,0.5904528818990548
