cstype,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
MOp-2/3,1.4227799725595196,1.3459753537827976,1.1009837181510354,0.8438063340584845,1.3459526369253607,-0.6643148646400048,-0.717007073772894,0.8722587270690759,-0.8685917446967327,-0.7238396266008003,-0.6142539503211273,-0.24583056838671963,-0.14335750802888364,-0.6213964784664967,-0.6137672030879621,-0.26195185891338657,-0.12169667143986766,-0.011100360502117861,-0.2588975139838537,-0.2591948955510727,-0.09021583223010966,0.06279172716209076,-0.21681156101600801,-0.046167765225136555,-0.0932279642706508,0.3000434798247637,-0.5787383499550437,0.6911563125651892,0.6741929426219289,0.4358786349669857,0.14882243619276136,0.7266780565214076,0.617460174595512,-0.3811933036099338,1.1706414856754046,1.1586530397256383
MOs-2/3,2.04188446136917,1.8819829924396452,1.6539569487747758,1.0917756891704544,1.8932928431858471,-0.9663748367203799,-0.7044881294066514,0.3461410601885173,-0.8658509081881379,-0.8089240843681045,-0.5315028516028624,-0.05956811236996192,0.16480327234371028,-0.5398813421729577,-0.6242981184813509,0.6300095912172379,-0.47271159305664423,0.14398427938045155,-0.04536219957117502,-0.04575538100334169,0.02511677495086751,0.3456778138820579,-0.04758409380489896,0.4186155646316423,-0.0932279642706508,0.08646943878214805,-0.11620702358702206,0.8109360888137981,0.7922172401434748,0.530187000525618,0.3110845836493898,0.8549455147626055,0.449468299506606,-0.3811933036099338,1.470142758158023,1.0510516843448388
SSp-bfd-2/3,1.288577167772659,0.5670959092374432,0.30338571547260446,-0.09313018519166642,0.5680643261845979,-0.1925964050962788,-0.7463982121632099,-0.3240725281943599,-0.5768245437250701,-0.8951103358356498,-0.8336229624624673,-0.35378244278033527,-0.30126817313546067,-0.8722622025183678,-0.08814035841742347,1.2444757205172154,-1.0470217212208452,1.5337251234489977,-0.14721102162166677,-0.1475585098933164,-0.09818666573547634,0.0711025179551764,-0.14831472904960671,-0.45078062481367137,-0.0932279642706508,0.3000434798247637,0.06789670462494193,0.6903814814402933,0.6734294673335475,0.42716398122923893,-0.02848684596045227,0.7111185993035661,0.3653224653927801,-0.3811933036099338,1.0898236819896185,1.2676370466942808
SSs-2/3,1.6594479248604077,1.051723503029467,0.8097567681427704,0.5810828000562439,1.0566384484793763,0.19142181369840733,-0.7159730293832817,0.3770739950369578,-0.8172130780936502,-0.6231000678162193,-0.5409140372078727,-0.20817394322053734,-0.2386836472643554,-0.5387093057057609,-0.16559874778805475,0.5784900071724861,-0.5201861386683807,0.397732991745769,-0.09183517606624206,-0.09220750799684409,-0.0933675035062768,0.05487799451738962,-0.08245239062037471,-0.2745623728490391,-0.0932279642706508,0.3000434798247637,0.11895944026103586,0.4178495338567258,0.40489171686247916,0.11459695363158172,-0.08733850571221209,0.4512243688517073,0.3311914517277177,-0.3811933036099338,0.9654885993961018,1.180829543464437
VISp-2/3,1.0442564593005408,0.4318703899768456,0.19105615623696773,0.10702427808551034,0.4308550082160992,0.5385305629002559,-0.7308421373014009,-0.02024236812745555,-0.7798949547585071,-0.289538871530484,-0.43533650711452687,-0.31152173489704393,-0.30044139971759115,-0.41561943139526797,0.3448552545784521,-0.3984993841700669,-0.6681484724916261,0.08920069150618563,-0.36479714145680814,-0.36504701252189875,-0.17725457855659119,0.18164068752458515,-0.3538052249488105,-0.12455415340361269,-0.0932279642706508,0.05799289997646596,-0.3601977008123241,0.24136684456313515,0.23099553771653422,0.007156807650455355,-0.14049073339975324,0.3199093892549787,0.17837705214042648,-0.3811933036099338,0.7665524672464747,1.1294571891264331
VISrl-2/3,0.7409168940749445,0.6045894500573988,0.6094464327861544,0.6809325871287097,0.6123253964970168,0.2790981400501492,-0.7437258660469034,0.3595453319561749,-0.14794461060473524,-0.9332023642837959,-0.9025290570737348,-0.43815569660332765,-0.261859179476044,-0.8760995367294863,0.1867841563139953,1.0143199747821487,-0.8430130488281888,1.1816159462602027,-0.06202837045216456,-0.06241407482170118,-0.002262430208477584,-0.16780055094930138,-0.11406631306640606,-0.2832784580969585,-0.0932279642706508,0.3000434798247637,0.04083788609712987,-0.5222292290217473,-0.5214093589833217,-0.49207259600370523,-0.43795175898473737,-0.5336379781237572,-0.5311220831959946,-0.3811933036099338,-0.5265323917261008,-0.6177650238533543
SSp-bfd-4,1.2668790586721155,0.09762702370984927,-0.30745909124485793,-0.39103067336380243,0.10774919493544095,0.003487206004201493,-0.7813492243957365,-0.3240725281943599,-1.0862194964864045,-0.8067069987293347,-0.9682820826235492,-0.6408366741542733,-0.3973215851510612,-0.9624395564796522,-0.1139468878353819,-1.4133007481003192,-0.3184193198185007,-0.1555161522151627,-0.8182558741770656,-0.8183023068297635,-0.5185148984354016,0.08233178909278598,-0.8332830487136196,0.009812186498450138,-0.0932279642706508,-0.7891841294925761,-0.29543590151258564,-0.3147681953308774,-0.3169888505192056,-0.3480220934477845,-0.3723391409107222,-0.29357778104848775,-0.3271461657705032,-0.3811933036099338,-0.2840789806687429,0.015400584828069119
SSp-m-4,1.3575461574136718,0.2741538232101677,-0.0545707187467777,-0.296233111201622,0.27088285408692786,-0.8789578531126525,-0.7675547734779412,-0.24268944960501052,-0.9556528332271575,-0.9002324351859278,-0.9627944241002188,-0.55844686081156,-0.3653709881246549,-0.9476384102367665,-0.7563371061794962,-0.5903734317418705,-0.3184193198185007,0.09317006920609498,-0.7774832775575018,-0.7775480023098483,-0.7284410783579462,-0.5314383797882055,-0.7598935858924752,0.05684333103575222,-0.0932279642706508,0.040703572844444695,0.38753763974055017,-0.22461105944120766,-0.22815304732111436,-0.3272052569579902,-0.2948616726889924,-0.1621162445548878,-0.2373064557175239,-0.3811933036099338,-0.1801703759298752,0.27976930509835135
SSp-n-4,0.8307470657511941,-0.11258557719065936,-0.34128714814480815,-0.40338638378136277,-0.09585172850168616,0.6654209523953044,-0.7943313790984167,-0.3240725281943599,-0.955065728288635,-0.9567804120129949,-1.094712461575473,-0.7183863102970515,-0.4047203623300071,-1.0689255808381901,0.5326314510714886,-1.4668951708501339,-0.3184193198185007,-0.5390634004404823,-0.7883956513486258,-0.7884554804052026,-0.8884475193627281,-0.645636415346332,-0.747662008755618,-0.05417063760051196,-0.09322796427065079,-0.3050829697959806,-0.19504441921824878,-0.4583056612178378,-0.45842264769185737,-0.45084874864991414,-0.42495232797278026,-0.4669545900472935,-0.47478721667682616,-0.3811933036099338,-0.5265323917261008,-0.30884392373623004
SSs-4,0.8932376199607589,0.18078805263752298,0.013887682834264248,-0.09815360357948122,0.18741912149779502,0.3565658274355909,-0.7407827090443664,-0.09619990814418164,-0.2809615870586756,-0.9342349795128119,-0.955823614624637,-0.5540168507039928,-0.29764018768225303,-0.9451715525296189,0.46303523006437447,-0.17782553077157423,-0.3184193198185007,0.22597026507160384,-0.5786796677628407,-0.5788335831908457,-0.7096510105385269,-0.5152702693592344,-0.7305378007640175,0.3162985070819432,-0.0932279642706508,-0.42610825972012956,0.8099386651836129,-0.3897331066645531,-0.3908550846701047,-0.41750066033663824,-0.38973237366455293,-0.29357778104848775,-0.32246241054723135,-0.3811933036099338,-0.5265323917261008,0.21299786740090026
