Manually_corrected_soma_region,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
AId,0.8700151707482903,1.5774435628098684,1.880996252157151,1.5465791292961284,1.5763604536625024,0.8501554038723372,0.9952578315539624,1.2281386979762945,0.6590516065864854,0.5883549089138503,1.5444058718050402,1.638995460151244,2.06946323346005,1.53907507377293,0.8566401574464407,0.6598265187384362,1.5116649993826279,0.6245980245684973,0.5779395343448495,0.5776802492261778,0.58426227676957,0.3777875003714163,0.6321725898721546,0.7043052300508623,0.0,1.3018760007329904,0.8337921262021885,1.1332237267218876,1.116615329147874,0.9783427929242462,0.9214596364095142,1.0998861261094568,0.8938876976269932,0.7791126456312458,1.2064805446567666,0.9265829676148069
CLA,0.4341431555844666,1.0531237869366923,1.4550084506410819,2.896401075633364,1.0524365626173418,0.8923072254595722,0.906620193659789,1.5259176525353961,0.5632427784406544,0.4492587396363806,1.565844231119328,2.046268735164703,2.2723629899477356,1.5834453441517864,0.887137069710366,0.9881543292422194,1.5285773760467884,0.6301427999223701,0.35324640881976,0.3530879293740944,0.46921543956170675,0.40057612586730745,0.3699251721972177,0.6875180437931157,0.0,1.5171322986545899,0.9760954995483339,0.260479608350269,0.25666204894572053,0.17813622455076494,0.06685733080319957,0.28216421394489555,0.28529887716785446,0.0,0.9456192857117106,0.4799765301331772
MOp,0.9210870586023238,1.1248224982292776,1.2243356379011168,1.3920230763211945,1.119415925479111,0.8565855293520835,1.1249463853795938,1.3642686403713788,0.772583225298699,0.8036202308677847,1.3621584123380963,1.469623760159673,1.4172530981115232,1.368732670106919,1.1595340193224628,1.337783285058491,1.45354396909536,0.8602262175633689,0.615831573180811,0.6155552882875911,0.9355830442448226,1.8223925290539738,0.619530302916476,0.5488344579062752,0.0,1.027942681186651,0.537048817523017,1.1854930169770455,1.2061509277890852,1.205887702137297,1.3639927866367703,1.158485478190508,1.0821409197239533,1.4430334144017796,1.0931040677983062,0.7160603997687871
MOs,0.907700519401855,0.9503742336180803,0.9216680092344869,1.0071168461872717,0.9436563219326709,0.7978050619333547,0.25926415359380767,1.078734349876505,0.7504887267198616,0.5144580379905158,1.9418685380861958,2.0117429852763116,2.4124446773264627,1.9341316247352143,1.088739849393236,1.2867036069250226,2.5956189967651926,0.8452154686069513,0.6450747216775922,0.6447853172229344,0.7910294608422526,1.871158798313936,0.6026867904341138,0.8977360125283256,0.0,1.0558368411778016,0.7831658568728682,1.3604519910303061,1.3469241634603348,1.2683241186509633,1.4552133274669359,1.2937947769262315,0.9618112478622047,1.2741290339252858,0.9459408406874945,0.6195266398171214
RSPv,0.7119522668504431,0.9267665682011047,0.9431337956051153,1.0546911023315855,0.929984167360301,0.34070372774514257,0.20746818434315012,1.3843099794037497,0.5374982880803169,0.5208212841818466,1.1064836588479012,1.1899917360713308,1.3506912696018505,1.0979370889806466,0.5856860916028294,1.14570554466458,1.2019573798138283,0.6700434035790732,1.0142550117555253,1.0137999793248673,1.3780190640581684,1.820218372355132,1.0342254762315166,0.7457138853517824,1.347086857744217,0.9522218889471483,0.8548592977759899,1.2968794335879716,1.2778725166564864,1.0258131919365923,1.0197680745881132,1.248634730006723,0.591550884070887,0.39064293903863834,1.0131047845857424,0.7091862317262108
SSp-bfd,0.9650682020382576,1.2206546153500544,1.1961469524698585,1.0308335980567562,1.2156145754633012,0.9792569664544346,0.8236345547027984,1.1527255058925494,0.894312462779664,0.4103712959305755,0.7686348154786954,0.7628195120241782,0.9280320244772061,0.7659510434019059,0.9188755810065184,1.61714559533084,1.4406009503515846,1.0445670625628343,0.5729483725492066,0.5726913266509058,0.7237517597558958,1.1379506732173648,0.5829511311686789,0.552352248867175,0.0,1.4357910219402086,0.8277448186185992,1.053160803584036,1.0653736954084847,1.2895464419210956,1.3314001969953386,1.0526716858043328,1.346719347200276,1.685369086508636,1.1478522184508908,0.9547132915202405
SSp-ll,0.8184784456856504,0.8589390908463238,1.05593618576191,1.6190466596169482,0.8594657667919716,0.7159113540091201,0.509695779066326,1.4928120681227328,0.6474236403581163,0.4355607624966021,0.6726207992681941,0.8336348464965784,1.190740938229556,0.6634712288921099,1.1529751378193693,1.7045163866070132,1.0674709000484572,0.9410869814553667,0.759746910557926,0.7594060599045998,0.950186476174666,1.1712467680273233,0.7385280013456728,0.7623674842881251,0.0,1.4636056221465714,0.6617869760193794,1.3128431976987724,1.3421761517113568,1.161761932886428,0.9806077391447506,1.3267313217167513,1.5358402288479447,1.5494469814843213,1.2122670552867894,1.1491631713374413
SSp-m,0.8816009211396073,0.8901104330428606,0.912684580992572,0.7731457334253788,0.8963476869627501,1.1748969616527025,0.842152109328557,0.9417242451701034,0.9435977969606089,0.35766665522335506,0.7612440456689796,0.7198866681640993,0.9248242241212163,0.7570708240760439,0.9560444419210203,1.369830022507006,1.0269575065165597,1.0429015047025743,0.7825742860085441,0.7863989687001828,1.1768119019149386,1.4079801568407009,0.7990700549343553,1.5220434131476723,2.5016553849033443,1.4987421366145108,0.7027750960192902,1.1421798383952337,1.137034590615868,1.238210519392583,1.4710329330934766,1.0989212640692398,1.0269380414328289,1.3505494630656176,1.0388541861680307,0.8383435983828575
SSp-n,0.8966529562348984,1.112561006348238,1.241793696508778,1.5029075565689587,1.1059023870748794,1.0394524829337415,0.8044146167158828,1.445548994115719,0.7939366407736033,0.2705643118306806,0.6619120595350921,0.7036884498783869,0.6240076822678415,0.6645019728113973,0.7518540410327701,1.2170302405031392,0.9623663902304604,1.0901966921649013,0.6820027023512636,0.6816967306343191,0.8089029685917499,0.7448635325062233,0.7171437890872059,0.5703008832840296,0.0,1.538204589837701,0.7998525800450135,1.1631206513706902,1.1900165646617293,1.3455918263883944,1.6972335855758596,1.186735667959032,1.3932511548750992,1.5930825368946053,1.0827389503329956,0.9704459263740911
SSp-ul,0.9856972780851382,0.8018962876359371,0.7641485513301972,0.9753979346060859,0.8095542998479978,0.9189901997326017,0.7335621926938902,1.1615439490082835,0.8977922611777971,0.3257253850091072,0.7027307800978868,0.6891845097373189,0.6707949938496633,0.6979067849691396,0.9177339168582028,1.4339674327274288,1.1040403086702948,0.9765659692419494,0.5280108961902181,0.5613454748178676,1.2528390049985059,1.423434266267413,0.5495077774290639,1.9075938560317383,3.6950019613366485,1.5249674527835733,1.0926465862273016,0.8215497947844356,0.8504491563024644,1.171338459211056,1.0560895457189823,0.8563124004530807,1.1386460249887882,1.660594325248496,0.8146695309948386,0.671709639878152
