cstype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MOp-2/3,0.09160754631,0.6165474015,0.612427759,0.600432059,0.2621323267,0.380535861,0.202303637,0.669998208,0.361608861,0.1661623567,0.109521455,0.26763644870000003,-0.09643333550000001,-0.10975517269999999,-0.062037298100000006,-0.09252495599999999,-0.15700355657,-0.095506664
MOs-2/3,0.10625288277310925,1.0007072447058825,0.9929335598319329,0.9777223931932773,0.6166360044537815,0.5472658521008403,0.12625352008403362,1.03941973697479,0.47992491680672267,0.44744294500000004,0.31017845042016806,0.49407334310924367,0.16563851504201682,0.11565895058823529,0.22238958655462185,0.15554661647058826,0.1028841849579832,0.2227611824369748
SSp-bfd-2/3,0.09964985376344085,0.9239853293548387,0.9217679753763441,0.9046599130107527,0.03722872107526881,0.5214885817204301,0.3581023915053763,0.9793341875268817,0.7961597193548386,0.1296471610752688,0.21997274806451614,0.42714447741935485,-0.3292756472043011,-0.5444398720430108,-0.37149012688172045,-0.4053973488172043,-0.38284393333333333,-0.28242402795698923
SSs-2/3,-0.17873017384615383,1.0905779038461538,1.0831663294871796,1.0583069192307692,0.04170065128205129,-0.0729337464102564,0.41728390587179487,0.9173176999999999,0.6293907521794871,-0.09855341987179488,0.04691855166666666,0.45352480471794876,-0.41833647179487177,-0.6356587141025641,-0.4358987641025641,-0.42731196282051276,-0.46512521025641024,-0.2968692982051282
VISp-2/3,-0.03543303198019801,-0.053960480495049506,-0.04902177396039603,-0.04690926382838284,-0.25740866953795377,-0.048744786831683165,-0.2903186294389439,-0.17997269078217823,-0.20838738195709572,-0.19067772169966998,-0.24053317146864683,-0.1106188970660066,-0.19738951999999998,-0.3319419022244225,-0.22552094778877887,-0.12546536343234324,-0.10730014762376236,-0.14998797471947195
VISrl-2/3,0.3140177941176471,0.7699527211764705,0.7814614764705883,0.7842630764705882,0.34527690588235294,0.2754876882352941,0.31763652941176473,0.6851157882352942,0.5026598235294117,0.17643262352941178,0.17539112529411763,0.23515449411764705,0.001502405882352927,-0.21577744705882354,0.028050788235294114,0.03444014117647058,-0.0747708823529412,0.011736294117647062
SSp-bfd-4,-0.47966973333333335,1.1047403333333332,1.0866094166666667,1.0507451666666665,-0.20654389166666667,0.09457887083333333,0.03157686625,0.79884692125,0.21457431666666668,-0.15514426666666667,-0.09810845,0.6298203041666667,-0.4819399416666667,-0.6477302083333333,-0.4623282083333333,-0.3795602625,-0.4054942125,-0.3279008
SSp-m-4,-0.26815132329411767,0.11294769411764707,0.10313044352941177,0.09057131647058825,0.050868973411764704,0.1528943654117647,0.49154856694117643,0.26812792372941174,0.01719167082352941,0.18485497894117647,0.2522686644588235,0.08853790823529413,-0.15585764823529413,-0.12382858470588236,-0.08544079647058823,-0.056047852941176465,0.012265297647058821,-0.12914279882352941
SSp-n-4,-0.30107545,0.64033767,0.62338126,0.5986287235,-0.06899792600000001,0.33308955,0.6085404624999999,0.65636955,0.61088444665,0.1720767365,0.2063355957,0.32062127500000004,-0.14937060000000002,-0.22505058,-0.19419895,-0.10725335799999998,-0.0907447995,-0.06660483000000002
SSs-4,-0.6467211584444444,0.2469132688888889,0.22860307155555554,0.20009931111111112,-0.4657380862222222,-0.5466779666666667,-0.004258960888888898,-0.02995453555555555,-0.44463911777777776,-0.4925885844444444,-0.52890042,-0.021673482222222224,-0.5487077888888889,-0.6776230666666666,-0.5117961511111111,-0.34668736133333333,-0.4764303266666666,-0.38446691777777775
VISp-4,0.028238043780487807,0.842335447195122,0.8426724951219513,0.8313142865853659,0.21301811451219513,0.33982613170731707,0.04462973231707318,0.7039243810975611,0.5177714990487805,0.15746891514634145,0.25128353146341464,0.4030045548780488,-0.19602333780487802,-0.4488040804878049,-0.22106552804878046,-0.17627918597560976,-0.15007176170731706,-0.11558972999999999
MOp-5,-0.04570568031914893,1.1458167758510638,1.1348954838297873,1.1096913870212766,0.32133586017021276,0.46014090446808514,0.2834576180851064,1.1859527170212765,0.810320909574468,0.22539005074468085,0.2853079084042553,0.6218460172340425,-0.19609667,-0.29582998936170213,-0.1655957679787234,-0.17702633723404254,-0.23195019787234045,-0.15787737127659573
MOs-5,0.5705238144285715,0.8822224128571429,0.8885681242857143,0.8854136331428571,0.5170153745714285,0.5174975285714285,-0.049118395714285716,0.9219527271428571,0.7122610257142856,0.3208859585714286,0.22964313582857143,0.5299162381428572,0.01863164857142858,-0.019662919999999997,0.03731972714285715,-0.051782866,-0.04271784428571428,0.01928202714285715
