ptype,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
MOs-ET,0.41003484620688874,0.7455683101848676,0.6763022807471453,0.7173343881804759,0.7313003447406937,0.9290958062616484,0.04922480614208497,0.774850680340194,0.4587717251809454,0.6055237711985919,2.147179638273337,2.134308134728941,2.6001006486181906,2.1408146747512307,0.8823192398905296,1.3866557969181437,2.7509927233996776,0.7277570217017569,0.43929989159561644,0.4391028053646944,0.508466897780306,2.6330596335494025,0.3852946798110072,1.1151598985139775,0.0,0.0,0.6348844010481496,1.2148961690224707,1.198259582848161,0.7070692295503931,1.1912883453598249,1.1584499502561691,0.5558287869795334,0.833335972561096,0.0,0.29974968829192367
RSPv-ET,0.6302295013658756,0.782638906605142,0.7565178267369383,0.9764550154226492,0.7843908075068314,0.29660662478059546,0.21765184717223274,1.5536656717895654,0.43468625173139125,0.38938209048897915,0.6495564065095808,0.7836854396458304,0.988948610589207,0.6505434982911874,0.3856105679084524,0.6769276047228707,0.9273594578767212,0.3433273745231833,0.7732675145764303,0.7729205980784802,1.28965598571436,1.727573501659162,0.7731035240820229,0.712106868206822,0.885181937684218,0.0,0.807765936125695,0.6741590669201813,0.6642786685950194,0.6086008718217237,0.7333355900491643,0.6695740374008045,0.15357872783999643,0.43905289701802364,0.0,0.16350890351916939
SSp-bfd-ET,0.4521069153605388,0.8207249170164382,0.7375611866736006,0.7677863023655381,0.8106917002928091,0.6877757608336088,0.906209026068917,1.366640481798067,0.933823245627758,0.3250572835490221,0.7936466202252973,0.7734581034915341,0.9479679436143447,0.781964361350319,0.559517297721895,1.014843686817087,1.8200482153543633,0.5928008998494493,0.38345648190056536,0.3832844490952171,0.4615508695814137,0.4110236399439804,0.42832468465435797,0.4356986580448311,0.0,1.1627733743567625,0.6315931723900564,0.47123940961621485,0.4470986790221785,0.6229412440596723,0.8846355957789878,0.4345257523957904,0.43217962327383624,0.535905634024168,0.0,0.2162694860791853
SSp-ll-ET,0.3364816385181791,0.9166567109232396,1.1322415942005377,2.0774995422433578,0.9161337061792572,0.584979562030412,0.047034417262451264,1.9675526939468706,0.6299550090186623,0.31068602711466903,0.5909128728804885,0.692368831832696,1.1323539493837802,0.5892124619729587,0.808674234691716,1.2483858735352327,1.2141985463295106,0.7871824063347185,0.8422447370376115,0.8418668747983705,0.7502490232845245,0.793375619724271,0.7976357662062479,0.7812476431490502,0.0,1.2836670480065042,0.2580628833535901,0.9804477638197157,1.0369711812277074,0.7006517719137769,0.7384591146402275,0.9057656420223893,0.9815591174395195,1.2490512223387875,0.0,0.2805303049922126
SSp-m-ET,0.4949454042624547,0.5215785705269085,0.4981137689149473,0.44330052072204285,0.5209041582714556,1.1020259131186205,0.9832379042886342,0.8808545371522789,0.8429102976788692,0.3597321168042256,0.7855828124984774,0.69616230707384,0.93720194133314,0.7816243557764092,0.5659232521055169,1.0369127100351916,1.1404642685778954,0.875018109042908,0.8094877939847301,0.8151549786615686,1.259182693181812,1.4324061496489493,0.8197076493380417,1.7672708317754553,2.995821424952242,1.6671026845220036,0.6409982853678816,0.7190408241382586,0.7160189609624844,0.8298780940351963,1.1282788834736557,0.6951915923063512,0.6676742584882506,0.9997628675568001,0.44625786697775305,0.4806480621743248
SSp-n-ET,0.3532849315932307,0.7612216554160105,0.6880796443021049,0.8763685690419752,0.7509274086382057,0.8764644601997919,0.9470151992696068,1.3461049857853198,0.8565202080331044,0.25065480661793466,0.5869712764056179,0.6729341908603879,0.6900692723991851,0.5981812037351509,0.6987268896051059,0.6873769320939117,0.9234873764229056,0.6404465589436377,0.4504557482791566,0.4502536571170054,0.44479186782683755,0.6336362165092805,0.4677918662526827,0.39669488529914576,0.0,1.6237246516021036,0.6512103624105421,0.5754001524899263,0.5886174450286866,0.5918169041993422,1.0766582538667022,0.6023691712073846,0.5850431712974806,0.5844436797689461,0.0,0.2399143480813106
SSp-ul-ET,0.674891194943003,0.8455138469134913,0.7450402144307081,0.7723077877026863,0.8555033466634694,0.9148749087687738,0.8325842459583848,1.025289176752697,0.883609713462782,0.29013235033684925,0.7026842517056257,0.7085732053216114,0.7054231791710338,0.695047068318248,0.8866723796657838,1.416398422217595,1.1385188615407191,0.7671662583705426,0.5202854279317025,0.5668387506925846,1.391689298406873,1.5221849488293513,0.5600336590720656,2.1696362503969504,4.2666207540678185,1.5062243013050234,1.179885832951946,0.6697940469706739,0.6678008403759277,0.8435860674002013,0.8117933376722295,0.6775476237264243,0.7354195424139707,0.8384240721416242,0.49490595290649314,0.5601084976056641
SSp-un-ET,0.6257084133553243,0.39838854678877883,0.35806059134041934,0.6063213671781628,0.4134748208994102,0.8947819421984652,0.06640300939510384,1.179352852603005,0.653846665774885,0.1907333152483641,0.719313622279565,0.5832682548402157,0.5142954755107046,0.7175651908221049,0.5497142338755142,0.2253895072971453,1.2997218936899724,0.904394336413823,0.40079293152603007,0.4006131209461373,0.31567328763418384,0.553513845376803,0.3292317067358022,0.21870960978794485,0.0,1.2836670480065042,0.9096404714429924,0.469069758931884,0.4690756982906964,0.8465458619621827,0.5814916869208638,0.4782113591780247,0.582428359270125,0.6540370600696799,0.0,0.11223853310575331
SSs-ET,0.9624132635232531,0.6800600892871199,0.624566064487542,0.7218874338975451,0.6739569429083995,0.9430428651007535,1.1413455329017912,0.9945176477979558,0.665410796075165,0.4822609775354809,1.1102218451337944,1.0346104888411616,1.5558103202186553,1.1307387959052717,0.33010614056303533,0.4889313684675533,1.8962068719916694,0.6272121246416328,0.4105482021628158,0.41036401500656094,0.707675862997651,0.6720778956257474,0.417954977453328,0.5574227580665777,0.0,1.0921053623096109,0.37343946420774166,0.6455762121097425,0.636967936079418,0.768639417083782,1.300077657901584,0.6403986362082835,0.5157419340904388,1.1255869673956533,0.0,0.18615944316916536
MOp-IT,0.7938907425806929,1.1873322931364638,1.3533365876287942,1.5941898877004403,1.1766149862240376,0.7075036002732443,0.08362625977238593,1.4875629464785483,0.5546951907151682,0.4076377081469224,0.5312446707216868,0.5813503188425568,0.6082432410427165,0.5400646144162814,0.9526985596012781,0.88078681485423,0.4825560458225943,0.8655765430947504,0.5919226721903236,0.5916571137171913,0.6966220321279486,0.5028179018456047,0.5755991579549536,0.534777257265948,0.0,0.9866459255889968,0.5723156303463356,0.47206391542778,0.4651454005724216,0.48408924581373575,0.48635148377150705,0.46235130968509985,0.45583419395792585,0.39076219824332753,1.141176622263324,0.4734139746835163
