cstype,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
MOp-2/3,0.7450461831628445,-0.5261041501148059,-0.30273061512170096,-0.8281728687793937,0.15579068046761885,0.23255204191929554
MOs-2/3,1.1515691095425578,-0.5354219636488139,-0.36248012678693337,-0.729569076607064,0.10704798317579338,0.33334033943560604
SSp-bfd-2/3,-0.1920552572910118,-0.48728875897927626,-0.5714562841566648,-0.9735813502587689,0.8110656695637591,-0.13708679130759516
SSs-2/3,0.690644258736942,-0.5272493036868497,-0.04398102615683531,-0.9558228645760131,-0.05395031405956405,0.456708384682971
VISp-2/3,0.21484715144713426,-0.2869172147282401,0.17806387651008795,-0.9843447037268506,-0.20552194540376464,0.11999284834268598
VISrl-2/3,-0.16422835323736967,-0.44253327228269984,-0.5494034164468182,-0.8705350799178154,0.39675006571144156,0.9079072033789529
SSp-bfd-4,-0.3157137908704298,-0.5317637050187903,0.22298968404373537,-1.3838536639465309,-0.27490473920193365,-0.574122178713073
SSp-m-4,-0.14371023789145834,-0.46298486027649194,0.2691894960426276,-1.2206645581670836,-0.03414167402990526,-0.5455357168523468
SSp-n-4,-0.47147322037300055,-0.38896467445161714,0.26813502318891347,-1.373830346112146,-0.2641250865564018,-0.5261802999674801
SSs-4,-0.5809425605146612,-0.4641693484002394,-0.7218177865450451,-1.0200489029643576,0.45773081934401316,-0.2552044635793459
VISp-4,0.2793476631552874,-0.3678165142280377,0.8401280931163502,-1.2863570704053273,-0.48281838252246395,-0.10929439783188907
MOp-5,0.5146470004874885,-0.30675600497378386,-0.7808364524285162,0.26994450863005753,0.870920754857392,1.129783144626673
MOs-5,0.7825100853969137,-0.3906271457320504,-1.2291815542822246,0.41254547722115653,1.4403470642473746,1.8470915857615628
RSPv-5,0.8930055775035584,-0.19586885690077474,-0.46303603270497723,0.287256165746943,0.03465405223686474,1.503220271628577
SSp-bfd-5,-0.0294759587253113,-0.21809540166274496,-0.6901538806970624,0.09274825736215303,0.573959670360949,0.6331303484713472
SSp-ll-5,0.021915899695292826,-0.32505448260664177,-0.5366696336051491,-0.09852023007509642,0.47073733073190155,0.7453217015460724
SSp-m-5,-0.39265359860078364,-0.22728375583482435,-0.8713590562109927,-0.05334382046029985,0.5182063469317036,0.3200980813677696
SSp-n-5,-0.30292628293826473,-0.2855375738796629,-0.9885903350722443,-0.018645423723817462,0.6013668247448627,0.4986642094491811
SSp-ul-5,-0.0894520550389765,-0.05659090651661772,-0.6509635675571303,0.17475205563554452,0.25373092302471284,0.5384821577941831
SSp-un-5,-0.1481664160503376,-0.26505141180951763,-0.9841529420418595,-0.12740541690070425,0.6401777907246071,0.8842836689246028
SSs-5,0.05586195293868518,-0.36269148620745856,-0.9287702366926429,-0.03740934534229406,0.7914924103616365,0.7140552588859032
VISp-5,-0.08612459858969863,-0.3190580154678664,0.9193807550849166,-0.9390137715810566,-0.3113394136418639,-0.15098298804544816
AId-6,0.8926999641064373,-0.5773381353683494,-1.557054225692569,0.45125494837830626,2.328765810185475,1.1378892593904206
SSs-6,1.3857512366709466,-0.43081874175037077,-0.46580460606494145,-0.20517507225885623,0.8739153687261252,1.2888767816382467
