ptype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MOp-ET,0.8479169352461259,1.018439878469734,1.0086826581939774,1.0011917978089815,0.9383550318903772,0.9427433371320884,0.9711453362315761,1.0976343425836046,1.171956201107342,0.8990964931117009,0.8698486038289168,1.1169537968519623,0.8963033162650382,0.8532702485468725,0.9077479444693438,0.9124316286710444,0.8713629971190872,0.901969358046655
MOs-ET,1.0914688094210085,1.3775715128069113,1.3736180486153713,1.369838235187149,1.071127919175009,1.0444398131181714,1.0112699346757927,1.3996994806196346,1.397153671206453,1.11040114309949,1.0217735630375848,1.134923299669934,0.967134395995218,0.7224838939479266,0.9975895698149064,0.9125907549030675,0.9250557551323887,0.9866760510803759
RSPv-ET,1.2139672643048574,1.1080347615574382,1.1109022552402328,1.1158024114992382,1.027919835456096,0.7852127543091793,0.733387671733245,1.0540693053633186,1.6036727654855765,0.9501501306878256,0.9196906183403872,1.2292455124393158,0.924673020837085,0.6833787387044431,0.9135557661457401,0.8718535967611097,0.8555296043454166,0.988466067061534
SSp-bfd-ET,0.680595518798205,0.7063242430340052,0.7011236992654761,0.6975443957846166,0.5850764425644666,0.7438316778799338,0.6457349793093622,0.7016373486276987,0.8457637605221718,0.631377723938397,0.7268309031926842,0.7742725873147928,0.6575009088366837,0.49291790216441717,0.634548900947068,0.6134399784614621,0.6316431360713954,0.682828919579455
SSp-ll-ET,0.6060399031954732,1.0935780081183044,1.0847166533755894,1.0786325098965792,1.0492515572812744,0.9764867468432437,0.78152672049474,1.0030310012960406,1.054240541575351,1.101633237475319,0.9874704099350304,1.8210772410885987,0.9151376176523845,0.6191848825736086,0.8826713643159446,0.8437388983121146,0.742001231159259,1.0412384912544272
SSp-m-ET,0.6835283830592804,0.8365952970362845,0.8349029445570917,0.8314250935250577,0.6917855080679657,0.8122272604386318,0.8714069141060687,0.8951371280524333,0.8549395284260147,0.7956086350135584,0.8478227167007754,0.7859378875753134,0.7114426072464783,0.64070681891125,0.7355014162397346,0.7898048483214168,0.7580659655827033,0.6991604190398895
SSp-n-ET,1.0132791004190078,0.8169673356080396,0.8233733114350278,0.8319801556706514,0.7557644414527939,0.8571145517646986,0.9732303620852635,0.7663018017173561,0.912486034108239,0.8102563422203651,0.8743703430255849,0.817058840946179,0.9212961199239479,0.7864096170464029,0.9328839645406652,0.8890924452133583,0.90152442316165,0.9500174858024214
SSp-ul-ET,0.8396850955205835,0.8272483121843761,0.8252506708098213,0.8266261948319662,0.8062170147705471,1.0080231908683508,0.8089486078614311,0.7313401441083047,0.7602952138627954,0.9397790923234177,0.9570811351748469,0.9319982830763349,1.0144409206211105,0.7553099169987124,1.0221435928378027,1.0419909929328786,0.993464411589761,1.0369016932480732
SSp-un-ET,1.2119749943271874,0.8744645334198441,0.8977355721889715,0.9222396523230479,0.8723646211016228,1.061762305377893,0.9012056598683613,0.9018424709802422,2.0612296370584415,0.9101876253191808,1.2165338035873612,0.9691429422537785,0.8848319421643777,0.8611388420077857,0.8549241281807145,0.8073652269178326,0.9536416034518885,0.838032526877134
SSs-ET,0.6806836399472019,0.6718691569005307,0.6726488910979904,0.6732896956769249,0.5352255728215789,0.5197587728033958,0.7133977017131127,0.7008775698066964,0.8112000835333761,0.49626689541619157,0.5542604267262686,0.6220602774917975,0.5125951006695735,0.37891917133484176,0.4760504917015459,0.5114450292247663,0.5383053992107955,0.5373941942778298
MOp-IT,0.8425771185395171,0.7926174644978915,0.7909398694625729,0.7916489032687792,0.896207672791646,1.0123895481674619,0.8942051239471203,0.8146837151887584,0.9600583596548562,0.8915684799793318,0.8822964905546266,0.760436513418924,0.8554241240717749,0.8749459112684802,0.8984650660918299,0.9311253594812077,0.9143461374567294,0.829862525839752
MOs-IT,1.0649600710880762,1.14123510894462,1.1380703612139351,1.1376816606661273,1.2631882919399666,1.12743424287762,1.0751941072091569,1.1616489906207026,1.1109787230755088,1.179733512258535,1.1648028910730923,1.0125820108432086,1.1251525803325746,1.0821521091896265,1.1581890521058003,1.1384046349745343,1.1376631853023946,1.1186484496763807
SSp-bfd-IT,0.7684817219764358,0.8416218586056438,0.8395552416084926,0.8374051902872983,0.6472136601395617,0.9349747797073149,0.7602913655501304,0.854164337681582,0.8214529127032923,0.7778675384190755,0.8152623670945504,0.9626501802650741,0.6987865364133174,0.4594228683954501,0.6827998898958864,0.6650835409222411,0.6753701198103232,0.7144274308451376
