Manually_corrected_soma_region,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
AId,-0.18672660883039408,0.12488409380055933,0.12275064033680752,0.1206262121730451,0.885241694823742,0.9225844566033181,1.35994877964271,2.154588177015365,1.0287400389244117,0.8558427045653707,0.9399681326323187,-0.28073489997982015,-0.5714228070449648,2.9146367872987415,-0.071856516453133,-0.62370811283554,-0.5262770837841864,-0.7490806234504651
CLA,-0.7576976239705715,-0.1540317778644031,-0.16046520972136974,-0.16683820535357738,1.8180011658329973,1.3307997930584008,1.3937465162465341,2.0564877547301657,0.9782052661028173,1.325015435372953,1.470426528251426,-0.560835091705799,-0.4329432636088704,3.1562162175687325,-0.071856516453133,-0.6532900425440694,-0.7154608286379408,-0.9596583355410887
MOp,0.4882078686218041,0.5660231597208015,0.5685998687767807,0.5711185610201469,1.1333388244056015,0.7502085919061556,0.7952496102067028,1.029488783880078,0.5059887448669024,0.796728966351254,0.5277226629706557,-0.10525289238670238,-0.155342166134106,0.7692101532255523,0.167381298398806,-0.07194359617709256,-0.13865962647960767,-0.43175114626799693
MOs,0.4414870399432082,0.7096956079677579,0.7113635287538205,0.7129682714452799,1.3561937456983229,1.0442550995814939,1.103852429444988,1.4145882653534991,0.6475510441692088,1.2960312715240383,0.8667707166666054,-0.08131428500936247,-0.12457234224276742,0.9798563367197601,-0.071856516453133,-0.1350120998519788,-0.35693983818577285,-0.4898650861930566
RSPv,0.9872324877195036,1.5274128488899255,1.5313472408161066,1.5351383053330376,0.6456733723539864,1.2707309621225367,0.021041819311045255,1.1212238595443298,2.0197418303324395,0.24237698759405854,0.6952139707266378,0.4681645600033234,0.5102416105374078,-0.01930608900091284,0.5014798686439278,0.0743212885596775,-0.24653585378060375,-0.2756630580239986
SSp-bfd,0.19453408835634384,0.09342492295198875,0.09489096603267867,0.09634395457301326,-0.01864694637873021,0.7247275945961665,0.5165524310569054,0.24022257039422215,0.23255755682681378,0.5176807172266574,0.24145915428918582,-0.39562172997994943,0.1017315484143143,0.24425446651480426,0.279744605840931,0.21852968565040606,-0.07266978278353645,-0.3461198705845695
SSp-ll,0.49497009382528506,0.187056227755434,0.19096257383165166,0.1948318031673283,0.7034372156126241,0.9386458142768958,0.1359948070427603,0.20570584988235704,0.2937739567893534,0.5231612153391281,0.4460541677117841,-0.3463373133051152,-0.017881386621557242,0.20312799017792169,-0.045912001126283686,0.35330966786545953,-0.141171460297745,-0.1762660037988949
SSp-m,0.2134867195388892,-0.12665052234205107,-0.12427461586140581,-0.1219005666693546,0.7120630281951874,0.5055808013415748,0.5780269466534966,0.08085961451244618,0.41018998827801584,0.8479901319116023,0.30225046488685653,-0.4035858612631443,-0.15105711366372102,0.20822002377107257,0.21716017044914254,0.25011548166851355,-0.01768750187788338,-0.5511766899474599
SSp-n,0.2449108771738107,-0.0760208252531301,-0.07352627411092484,-0.07103839475778309,0.11642383032948701,0.6519024467437999,0.5599894238005919,0.08772965763252093,0.07922955054556556,0.5237438438238301,0.15977750936392154,-0.26894120769662105,-0.006475882122686464,0.11603561060323003,0.2558748127316849,0.2795212542616572,0.12580374304185005,-0.513088233863835
SSp-ul,0.4669551608394353,0.16464334521092808,0.16836790577313365,0.17205836317253104,0.8075509387130418,1.4515075788529763,0.28304228654158176,0.217315914166728,0.7966766134374488,1.025081431871753,0.5387779708247695,-0.25862172694882185,-0.011600176461203154,0.12069896165306863,1.150760916593872,-0.007711183940539872,-0.02247849400681402,-0.6245269062297296
