cstype,PathLength,EucLength,OrientX,OrientY,OrientZ,Volume
MOp-2/3,-0.051209826518681764,0.0647938229115631,-0.04035002489706113,0.7298546665773359,0.9211755976194969,-0.14141515963760337
MOs-2/3,0.48303108493377556,0.8207986927116049,0.4120675764564843,0.6086529995827341,0.7762938047998866,0.22438638711842082
SSp-bfd-2/3,0.6433128566840163,1.1693374878129517,-0.11170139046085412,0.566333388591326,1.1741208017855587,-0.09436963768049138
SSs-2/3,0.2577863247815934,0.8024776546625466,-0.23053125030313787,0.1878817552177831,1.3747020615224081,0.08513918817422803
VISp-2/3,-0.1499215194735933,-0.2512367653275047,-0.22922144408215941,0.4996938066461428,0.5871611161419036,-0.14633593675110446
VISrl-2/3,0.2849730458424205,0.8275303412091723,-0.3921922446465021,0.21779279250718814,1.5386437021474217,0.010587135506901851
SSp-bfd-4,-1.1032864023205995,-1.1871224293669822,-0.29204853773426487,0.23708900787893752,-0.12910276190477946,-0.48622229262982924
SSp-m-4,-0.5847362805434093,-0.4008897818390185,-0.37697593976443383,0.2652693841680952,0.7082490380682754,-0.293488903637103
SSp-n-4,-1.1216235949055229,-1.2943080870950756,-0.34461723896572344,0.299132061916682,-0.833521842954069,-0.4887011115441174
SSs-4,-0.32447617799099876,-0.08918732230051134,-0.0497130557297957,-0.9504116943825869,1.0303824695482866,-0.38459842738029915
VISp-4,-0.8647758782586201,-0.8770774297185864,-0.48845711051668694,0.12248911565264528,0.7692217641687867,-0.45770813854058306
MOp-5,1.4125353711851891,1.621189494859188,0.670030762812346,0.7608634591226969,0.38168079730841387,2.0476970611846936
MOs-5,1.479317760011562,1.732440436098006,0.9321907213725205,0.7277163961983808,0.3681703467643619,1.4169675981403766
RSPv-5,0.6510125551651201,0.2111075373261026,0.09065483241929952,1.3720313277500609,-0.3378112120256647,0.37838988953530156
SSp-bfd-5,0.720974475244325,0.9486537416731852,0.5304286715534151,1.2899526451972014,0.5545430023088453,0.5011976330837732
SSp-ll-5,0.6340425797869578,1.0718168847483385,0.46582000937215295,0.554081602229807,-0.09606905900838075,0.9493898748014646
SSp-m-5,0.8784388197433992,1.4322856992617443,0.9660840487172633,0.86355990744168,0.7631152503558957,0.5102922917098188
SSp-n-5,0.7928240553034,1.2550113010254103,0.6886519752414042,1.1535033687637666,0.8966354831618717,0.26221860152667953
SSp-ul-5,0.8427993821820471,1.2485811881141553,0.8498663606068315,1.1904312203241973,0.4249435600661391,0.4588488203915977
SSp-un-5,0.9648377799995063,0.5090143552894264,0.40826866985787597,1.267992858300056,0.7541857683572741,0.775659727600747
SSs-5,0.86501968903571,1.1583894617918091,0.5994757847519547,0.47654785393847127,1.0980340521335001,0.7395628760311825
VISp-5,-0.8184994821843169,-0.8783922640823842,-0.9132611868818407,-0.10834585912660273,0.28515091534736303,-0.32054728732663434
AId-6,1.0216827125569483,0.41546701568277267,-0.06354644811169773,-0.5645957915387423,1.0282075482615716,0.6258517381842041
SSs-6,0.71340603110026,0.3272929532925661,-0.6846453293826467,-0.6242255600947699,0.8667936565395379,0.17044363187655615
