Manually_corrected_soma_region,PathLength,EucLength,OrientX,OrientY,OrientZ,Volume
AId,1.1387312148602806,0.6317301113047208,0.14628560023175202,-0.43856048066477704,0.9499282913241255,0.8352097327337518
CLA,1.1245061524914712,0.8279066174088802,0.34355617404662553,-0.5857804991689389,0.8098938869990123,0.8966932766492155
MOp,0.721018740183824,0.8285146817249921,0.37689022429045793,0.7100875061716638,0.5323167209583378,0.8968573999944892
MOs,0.9032799652037636,1.1694035191951313,0.683466959016399,0.7059715377046029,0.552509269089838,0.7322937861998827
RSPv,0.5352363305301664,0.13012566890871788,0.03021883282492008,1.3252888216967362,-0.37925904971766217,0.3082919658356098
SSp-bfd,0.38152164664314886,0.5014547461168773,0.18074120703001686,0.9273157355623636,0.5223100194699304,0.17821213182408185
SSp-ll,0.36682803173403616,0.6856794385969521,0.4375109797993914,0.6962320362534904,-0.11694153926292629,0.66538671446392
SSp-m,0.5852766198184925,1.051721893563702,0.637372313989508,0.695709388215438,0.7816229524652969,0.33217312289741247
SSp-n,0.3130602816987717,0.6440647609993438,0.4048198033808006,0.8707849957629045,0.583941815460235,0.029263404892715675
SSp-ul,0.6681387950934673,1.100194232851568,0.7687046775674499,1.0680141391734785,0.45094177473117764,0.34088488230554403
SSp-un,0.7820960179641004,0.46646123860179983,0.39991939194455317,1.2190589499039837,0.8413020029682635,0.6087357781306614
SSs,0.5975903706807407,0.8034254827709771,0.115824171625753,0.08822375275405218,1.1042936315838183,0.3859645191724205
VISp,-0.533855425780179,-0.6110306935070308,-0.3937841525536748,0.24765587495002392,0.5701355230734094,-0.28704608562224787
VISrl,0.07319300804625803,0.4267986731676531,-0.44313901719975296,0.19133066687616637,1.0248306845991249,-0.14880503682284185
LGd,0.673223411916019,-0.26662457325318967,0.77041230500126,-1.0310246622265724,-0.25155923511494993,0.2288181123346104
MG,-0.13955872471730088,-0.448745142439192,-0.7338711283686798,-0.33011064701563947,-1.390893556312784,-0.13794592183022492
SMT,0.1901181755061948,0.28630455063356497,-1.7664550886404542,-0.28576324342693216,-0.5099353480424158,-0.18489985861050753
VPL,-0.05808907302093429,-0.22063461399956252,-0.8217071514471723,-1.3434703327017037,-0.3712158427347046,-0.1983201463271092
VPM,-0.44996957532177906,-0.39643035618421985,-0.8429657351146805,-0.9227878895236851,-1.0400331535499214,-0.35928307318958796
LD,1.1174564317426554,-0.1418207701963567,0.3925365015635207,-0.8962590080492031,0.1767378455516731,0.6404379588512141
LP,0.8787398712687442,-0.312726642831513,0.032580466843125946,-0.6369286770789044,-0.6117945501658768,0.3038603301149113
VM,0.5489097468504959,0.2767370675961349,-1.4249319111996988,-0.8852925120921554,-0.39464417470140906,0.08207841522299829
RT,-0.8371411546018929,-0.8324003437372374,0.5173776579920126,-0.600617246363704,1.0194832885990814,-0.4631634565874113
ACB,-0.6943296423494201,-0.45164208602918277,1.4236414438442442,0.4130325625286005,-0.32377039195750523,-0.4012001058147852
CP,-0.7210329693034477,-0.4908006500781786,0.9727898561221261,0.8768275254000274,0.2971371865723793,-0.44057841020271205
OT,-1.0782305566076724,-1.046022590798451,0.7389449279171207,-0.9604817063233146,-0.26406206145949873,-0.4866921038080862
