name,bnum,tebratio,pd2s_max,pd2s_min,pd2s_mean,pd2s_std,ed2s_max,ed2s_min,ed2s_mean,ed2s_std,binterval_max,binterval_min,binterval_mean,binterval_std,bdist2pb_max,bdist2pb_min,bdist2pb_mean,bdist2pb_std,neighborb_max,neighborb_min,neighborb_mean,neighborb_std,soma_region
17782_3487_x11014_y17041,1756,0.0,15064.79,6.75,8361.446264236902,3198.5406007739484,7538.49,6.75,3980.2989066059226,1570.1810631274127,706.28,0.0,20.10620159453303,33.68367040827916,1751.47144,0.36146,42.59304551252848,82.77116988887963,34.0,0.0,9.891799544419134,6.064771090793641,CLA
18457_00040,596,0.026845637583892617,7652.36,22.24,3851.285083892618,2471.027301017523,5162.04,7.63,2380.293255033557,1748.8278038959327,361.16,0.08,11.800855704697986,18.975396306291593,361.15549,0.08303,18.61446580536913,23.735268752588098,60.0,0.0,23.05704697986577,14.761980487172835,CP
18461_6043_x11080_y1667,1405,0.0007117437722419929,5392.82,103.52,1850.1563202846974,1519.301144666318,1801.75,16.87,480.3514946619218,290.1312197533078,482.71,0.43,18.03908896797153,18.539266828924085,713.61438,0.43247,29.08074936654804,34.06994671858093,66.0,1.0,24.029893238434163,13.388687034793941,VISa
18869_4764_x5211_y5995,1071,0.0,8810.59,6.29,3587.9587768440706,2788.5059688187594,6398.75,6.29,2196.401185807657,1725.7050503535345,975.18,0.0,22.199421101774046,52.21759856099903,2122.52661,0.47262,39.2866068907563,99.13400556664918,91.0,0.0,16.681605975723624,16.66656027610746,SSs
236174_4229_x13663_y8589,2929,0.0027313076135199728,13426.06,5.74,9288.744602253328,1728.1878692997063,6847.46,5.74,5334.947678388528,724.4270600111308,427.82,0.0,14.57720040969614,19.503348252225706,1393.91406,0.34132,25.75635266985319,46.8153473420753,71.0,0.0,16.233526800955957,10.444628061886302,CLA
18869_4848_x18620_y8132,1573,0.007628734901462174,3182.93,9.65,1750.315963127781,800.8184625007736,953.32,9.58,612.9103623649078,243.09958533334688,218.79,0.26,11.082657342657345,10.821806520593153,218.78589,0.25617,16.482425454545453,16.81386290039191,477.0,1.0,189.07565162110618,128.85628718255845,RT
18868_4757_x15158_y16995,1419,0.009866102889358703,5548.33,1992.94,3257.376349541931,862.886577506713,2317.11,573.39,1053.964411557435,290.1997267917921,205.46,0.26,9.57434108527132,11.917840352149348,490.93094,0.25501,15.892582579281182,30.316048140837715,355.0,0.0,125.77167019027485,97.3060039617856,RT
pre_18454_00377,1259,0.006354249404289118,3830.79,12.14,1171.26357426529,1086.7820750749552,2771.61,10.95,736.3078792692612,894.5852465338824,105.26,0.27,12.172557585385226,9.86140180703642,184.55347,0.27152,18.221445250198567,16.105490560319556,184.0,4.0,46.646544876886416,39.0565782630814,AId
18869_4091_x4807_y8065,645,0.0015503875968992248,8847.54,72.88,2720.7663255813954,2437.5068687844587,5830.84,17.41,1423.6377364341085,1408.017396303841,3300.15,0.6,19.560527131782944,130.33893561756773,3300.14893,0.60491,27.12938409302326,131.24774012388934,149.0,0.0,48.88062015503876,42.05755830757338,SSs
17302_00101,1196,0.005016722408026756,2897.91,31.67,836.3103344481606,598.4911999813515,1936.09,19.4,396.54478260869564,455.24040357051894,51.35,0.26,9.179707357859533,6.723281986308993,127.75694,0.25617,13.895953678929766,12.181469447771368,206.0,5.0,66.11036789297658,50.182774148976016,CP
