bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
CP,0.11551212749978068,0.1923768135765119,0.12396706505410085,0.06443539871745584,0.04080426796593759,0.045838392024298215,0.050343875070576846,0.05000536280401913,0.04247598348870369,0.03714460427708275,0.02684700472901588,0.018941535932106776,0.014894472231106782,0.010376400335469244,0.011180552920966105,0.012625444482571269,0.015746861180606267,0.020122464083010258,0.019684644402151844,0.020274502205897802,0.015287086276156462,0.011580637831038262,0.008198720721664901,0.006403793309028726,0.005664320399158075,0.004407897228846718,0.004166384066320187,0.00304003877762458,0.002831397526305056,0.0018518212466889388,0.0014074713193761696,0.0009802089123743388,0.00020146946577623753,1.9290123456790123e-05,0.00017843364197530864,0.00013020833333333333,5.3047839506172846e-05,0.0,0.0,0.0
OT,0.11082612578628503,0.17618017467905778,0.1432643470895787,0.1169950382199008,0.1143766244725389,0.10864220020819866,0.08294876581501978,0.0715159032965504,0.03542562861097739,0.020294692522193916,0.012825247133742631,0.005086401619555223,0.001618850546400788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPM,0.0008276521517169244,0.0029324364448816568,0.01612925658956795,0.016937976179543394,0.006701885513497865,0.00170255409165213,0.0005857831353770471,0.0003246488039948911,0.0006085644010497838,0.001812019445422525,0.004797815615588302,0.01282042003888722,0.031500887608002896,0.052954151328100094,0.09246779933307932,0.1306939242890154,0.11648297486893636,0.11597236961946426,0.09202980967624344,0.07665017113139123,0.05913585056459845,0.04628461024011704,0.032015878342097306,0.02633813143675108,0.017576227688122177,0.011169367935302838,0.008740253691476145,0.005766277000560092,0.0046116042816876784,0.004261028048097373,0.004265541986912841,0.003015386336346046,0.0012604223302884598,0.0004485150725874862,0.0001346623441476807,3.2728744168332854e-05,1.0413691326287727e-05,0.0,0.0,0.0
VPL,0.0015646661338797677,0.0031510732391613356,0.015875190394545186,0.016335949227066392,0.005253983582575171,0.0015379318444997422,0.0007217231139762923,0.001507145104628676,0.0022141229223821895,0.003732847217381547,0.004716690552465268,0.005921435551719921,0.010512369386328331,0.013920229312912983,0.01975803183274912,0.029705139558258653,0.054347451251441733,0.08335426545699023,0.05532135112228063,0.06835430182338645,0.06808394987332814,0.06273447001853527,0.07566812203141014,0.0898952486500499,0.07407907232889194,0.057631822660350975,0.04013083674583301,0.040489878641559125,0.02846553301454463,0.015416611515785637,0.009903056739980145,0.01021887955176353,0.007990234885260654,0.006889987429656586,0.004684209957921561,0.003256247525550691,0.0032907604962349045,0.002702162102787765,0.000657495878575002,5.5213233507807155e-06
LGd,0.003902916501817788,0.017079025548321802,0.00697763426479034,0.008689570412951975,0.01081342980099159,0.008065605208706514,0.00496960766461087,0.0018410179486763089,0.0015988648230684272,0.0029315210258997705,0.0018178244942451426,0.0,3.290123050602092e-05,0.00012063784518874338,0.0,0.0,0.0002728654342757764,0.00745219814338219,0.005220988775657291,0.0003946816972501749,0.001719943405835922,0.002125410596950881,0.004183213822102199,0.015765454980110408,0.03246882762322439,0.0623552109151427,0.08066739050819335,0.07008286457339069,0.09504191189955358,0.11625305425382244,0.09246345999516364,0.074090678070187,0.054478076753003965,0.047677204363241625,0.04149563235118413,0.03669571641113064,0.029955340160473482,0.017308638032332766,0.021894116455843427,0.021096564008772047
LP,0.0028584981250047137,0.0036889310237819156,0.002167235336572317,0.0003334815473543797,0.0013595931794151556,0.0014331775899552133,0.0004718050845694545,0.00176624245267823,0.001760049788622262,0.0012716685800007361,0.00174293817917258,0.0013676282337606615,0.0060054721428250985,0.0052702977481543945,0.003097713084633843,0.004179935047951231,0.00370214968969029,0.005989164390417895,0.010265727094789172,0.020234639640665738,0.036610610088667894,0.018231351269511687,0.01862170209400136,0.024956119972364507,0.0165434185377734,0.042647089759049656,0.08161935751191635,0.09412770799278747,0.10692175113177683,0.07904855628428875,0.09107338392777264,0.06921721263276503,0.050061941168436555,0.03948356481154649,0.029312474868364934,0.030399724201947483,0.025198706916475674,0.035664002010187885,0.02261280873033928,0.00868216813001086
VPLpc,0.0009147155765988166,0.0008008493065490484,0.00019029495718363463,0.002548665685038758,0.007321923413930657,0.00910120416986875,0.00358040046072724,0.0005936479667557139,0.0001980526978454691,0.0013533400489173435,0.0030167994339024137,0.0055358407419741065,0.007237411623717954,0.017085203246603887,0.023456526872896802,0.022368752319817463,0.06566872271114137,0.1451113316567604,0.14846996748630079,0.1218005324786561,0.0965863195764917,0.062421330751069,0.0635391456216475,0.029305817272052767,0.02164580760135843,0.03978124704392992,0.03838274513116384,0.01786541671935336,0.003391356784854091,0.005183241012581294,0.0015305337992737198,0.005105601469237833,0.013774104683195593,0.007786960514233241,0.0035261707988980717,0.0029752066115702478,0.0008448117539026631,0.0,0.0,0.0
MG,0.0015931322482578263,0.001446180690721049,0.001878826816251156,0.014389410516236212,0.00651449845277274,0.0064594607305010964,0.005810432986397951,0.002731839757614124,0.007660860970766628,0.0027941159592807063,0.0034277214277710554,0.004279665501536878,0.006734550999043021,0.007978741355150858,0.01888621622611112,0.036856308356906314,0.07924449646852791,0.08163342917704758,0.09896427724581136,0.09219227410694614,0.06886228624107071,0.06011153033935218,0.08485940229546664,0.06908048835074138,0.03526511643810992,0.022839959904163824,0.024134243439116344,0.023726324252397162,0.02086813985774734,0.0178602247728634,0.021346831456652685,0.014862083067910304,0.013931297076505112,0.011267256530476959,0.009579981135276772,0.01005944043029622,0.007421479672875565,0.002179851929883571,0.00022759613098589788,4.002668445630421e-05
RT,0.004510773779962746,0.016696718719450897,0.06128263250627097,0.08991786639017578,0.09735960313912653,0.11830281126093384,0.1471329294578627,0.12746003746482348,0.12855015278942147,0.06955038732004896,0.04585013043088632,0.030306238599399203,0.019743847843707425,0.014549706533303411,0.010245773389238077,0.003916304121331474,0.00430022914876964,0.0042273302592813825,0.0037117891671503635,0.0017732664791488323,0.0006114711997064939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSp,0.11464415589512204,0.1870008180740515,0.1100875356108619,0.05570291707221618,0.031780205963590775,0.019213554453337896,0.01571157132661534,0.014044097875336043,0.013937885077239953,0.015901304653965102,0.019351309440630175,0.020289083308401096,0.01884146990502938,0.01679244058771291,0.016126119434200056,0.014026415901250018,0.01275805392481698,0.017492057297023963,0.02453612263711161,0.026084438603027033,0.02498196535263241,0.025537225229355715,0.02316733191714594,0.020115739185294263,0.017756584065432873,0.016019897717775126,0.017150431978327257,0.016633585787831293,0.014713687575914581,0.012391350831434783,0.011662487654104067,0.010954494835054049,0.00827790073810881,0.004620463634904256,0.0033034924383513373,0.001977040810330537,0.0021461135489653765,0.0016798289477837048,0.0013069582391788516,0.0012818624705347827
MOp,0.05406862846370424,0.1636016918379129,0.1289959668786887,0.08413270146360587,0.05231428386588994,0.03625477777869933,0.02822087012211017,0.025368116334585043,0.02243916756314085,0.021378652511583537,0.020675398176598584,0.020444449029863785,0.020422136824115242,0.02296619347982476,0.01902464498526946,0.018011552471413193,0.02061174527221721,0.02226063327057689,0.02075900100056106,0.02039155982779944,0.018223570584307,0.018919987620972693,0.014219762041580809,0.011061554851860228,0.009549576455050222,0.0071881252942910135,0.00802862433279004,0.00813409492395647,0.008505517895290119,0.01023943496135031,0.011658816226583551,0.010063897189100552,0.00927341303205471,0.008448028373654395,0.0068414206130957955,0.005211292784477564,0.003779995375367358,0.003483374148601338,0.002989763420562933,0.0018375787168927124
MOs,0.0412221233529919,0.14511486696489456,0.12710723396161097,0.082588655992161,0.05414487849153285,0.0423856026236188,0.03243574780572301,0.021639020187762238,0.01646321709246125,0.014584237450554113,0.013862779669321227,0.014056032643186809,0.012686037850635835,0.012492312080842975,0.013443767417672935,0.015589392011743388,0.01904783250574346,0.01921779779106132,0.021889103908615183,0.02519516331366676,0.02729291738832463,0.024343459754806805,0.01929034082536297,0.0186613741536869,0.01970137006362309,0.018443041523900333,0.014694515867869164,0.009484325283317208,0.006753894839459632,0.006284984790201681,0.007423364386692563,0.008447591064759338,0.009031388212929556,0.010276023774491449,0.01013744588854403,0.011320653080256132,0.011860595829390305,0.00917708778302265,0.006127225440777865,0.006082596932783082
SSs,0.08090478056471978,0.14646788517197,0.10544124357013412,0.06542020567820747,0.043884699694925866,0.032401549581215584,0.02757167455591976,0.02682834208828982,0.02722526533377827,0.029750426792738278,0.030210676084704683,0.027472245820223715,0.021696206080535334,0.029153583252954644,0.029332029381484177,0.022598967863801778,0.02217836701305612,0.022724843977470228,0.0207945035345711,0.02035532564100422,0.017825940888096622,0.01684450435364151,0.014421672881972157,0.010614617088043883,0.013057983452344523,0.014555715728110461,0.01500601760167084,0.011052872895286866,0.007865573172377488,0.005279441164036987,0.004808261654662225,0.004473372767423084,0.004286276563584469,0.003877117880747901,0.0033420140688696625,0.0037863313465526776,0.00428992760364024,0.006060129569783556,0.0037621719425280096,0.0023772356949218957
