id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips,bnum,pbnum,lcbnum,rcbnum,dist2nb,neigborbs,interb_dist,uniform_bdist
107,89,9185.79,9868.8,5779.01,2,9,2329.5,1312.09,0,0,0,0,0,0,0.25,0,0,31.2988,37.7961,0.828096,0,0,0,0,22.2725,16.6406,29.9844,0,0,0,0,0,0,2,0,0,0,9.10482,28.5,17.7621,18.8981
108,96,10560.3,8248,6054,3,10,196.438,130.417,0,0,0,0,0,0,1.5,0,0,49.9579,52.7074,0.947833,0,0,0,0,155.328,50.0098,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,96,10560.3,8248,6054,3,10,196.438,240.44,0,0,0,0,0,0,3,0,0,153.089,162.731,0.94075,0,0,0,0,97.6055,401.792,13.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,99,9060,10056,5824,2,10,2546.96,1427.86,24.0038,16.6627,168.655,133.316,163.461,146.405,0.25,0.25,0.25,36.0492,40.148,0.897909,19.4635,21.7015,31.6075,36.7379,45.0215,69,3.27588,19.4635,21.7015,31.6075,36.7379,1,1,3,0,1,1,7.08032,18,10.6905,13.3827
111,99,9060,10056,5824,5,10,2546.96,1441.78,0,0,0,0,0,0,0.25,0,0,48.4685,54.0622,0.896532,0,0,0,0,95.583,36.9092,17.707,0,0,0,0,0,0,3,0,0,0,12.6651,17.6667,18.0207,18.0207
112,100,8423.81,6096,8195.51,5,10,3750.15,9465.63,0,0,0,0,0,0,1.125,0,0,5.26793,6.18888,0.851193,0,0,0,0,8.19238,7.35986,2.32031,0,0,0,0,0,0,1,0,0,0,6.18888,11,6.18888,6.18888
113,100,8423.81,6096,8195.51,2,10,3750.15,9542.82,65.4504,78.9216,141.009,34.9854,113.714,94.7361,3.5,2.5,2,66.7368,83.3834,0.800362,60.7188,89.355,96.5032,106.449,77.9795,60.8369,33.5518,11256.1,12902.9,2115.12,2335.22,103,18,0,0,2,0,0,0,0,0
114,101,8483,6135,8214,2,10,3703.4,9657.35,84.9208,103.013,171.887,90.143,98.4834,25.9058,1.5,0.25,3.25,144.187,176.654,0.81621,48.5588,53.9164,14.0067,42.0101,58.4717,204.651,74.3301,622.745,706.097,14.0067,42.0101,8,1,3,0,0,4,36.556,55.6667,44.0899,58.8847
115,101,8483,6135,8214,2,10,3703.4,9779.87,7.02454,31.6314,173.394,164.334,174.85,141.501,1.25,1.25,0.5,202.502,299.177,0.676865,90.1093,96.734,219.584,238.194,379.648,34.354,106,1399.71,1605.84,219.584,238.194,10,1,4,0,4,13,52.8502,119.5,70.698,74.7941
116,102,8119.84,6226.6,8285.05,2,10,3927.91,9743.4,143.71,150.264,145.088,151.531,2.32617,24.0732,4.75,1,0.375,19.1749,42.4681,0.451512,78.7832,92.8958,83.3513,136.385,34.2891,16.3511,15.5293,208.915,248.956,83.3513,136.385,2,1,1,1,5,5,13.0003,89,13.0003,42.4681
117,102,8119.84,6226.6,8285.05,2,10,3927.91,9746.91,29.5312,60.5796,153.282,163.009,150.571,135.967,3.25,3.25,1.75,42.87,45.9737,0.93249,15.0574,16.3466,36.3216,42.2075,34.2764,41.957,23.6289,1303.32,1495.09,1372.76,1504,18,8,0,1,1,0,0,0,0,0
118,103,8071,6308,8196,2,10,3871.92,9667.69,61.1969,39.739,139.263,162.306,139.069,156.28,0.25,0.75,1,32.1394,35.2833,0.910896,35.2795,36.4021,168.801,188.716,46,10.2432,17,35.2795,36.4021,168.801,188.716,1,1,2,0,2,10,9.47529,8.5,10.0447,17.6416
119,103,8071,6308,8196,5,10,3871.92,9937.93,0,0,0,0,0,0,0.25,0,0,254.492,305.521,0.832979,0,0,0,0,598.417,203.999,23.9912,0,0,0,0,0,0,9,0,0,0,22.6202,8.11111,33.9468,33.9468
120,104,9267.14,9790.08,5766,5,10,2219.19,1251.04,0,0,0,0,0,0,0.25,0,0,33.6288,33.8005,0.99492,0,0,0,0,34.1113,69.8877,4,0,0,0,0,0,0,2,0,0,0,16.9003,28.5,16.9003,16.9003
