id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips
156,135,6515.25,1413.35,8905.25,2,10,2557.02,5207.36,63.683,74.3375,121.94,106.491,167.721,178.656,1,1,1,34.0989,36.4485,0.935535,3.14987,4.68914,289.583,319.025,16.9702,20.6699,21.25,709.009,847.646,289.583,319.025,5,1
157,136,6529.45,1426.03,8938.58,2,10,2555.95,5212.65,63.5421,45.1852,162.986,128.639,128.431,160.488,1,1,1,35.1524,40.1319,0.87592,29.054,31.691,28.4045,38.2661,9.08008,11.5,32.1504,307.346,346.845,558.774,642.291,6,5
158,136,6529.45,1426.03,8938.58,2,10,2555.95,5230.79,64.6869,71.9781,125.241,119.947,161.664,148.727,1,1,1,54.4483,58.2768,0.934305,1.09176,3.02236,58.4335,67.4031,48.8198,6.26001,23.8203,85.4755,96.6229,58.4335,67.4031,2,1
159,137,6598.02,1444.18,8985.65,2,10,2547.23,5115.9,67.0488,50.1673,149.238,172.936,93.3449,136.745,1,1,1,20.3244,20.8665,0.974022,30.2024,32.7463,119.584,146.511,7,16.9301,8.80078,2229.37,2629.68,360.482,411.77,21,4
160,137,6598.02,1444.18,8985.65,2,10,2547.23,5119.3,92.4906,70.727,142.166,124.872,99.5574,152.077,1,1,1,20.3946,24.2705,0.840307,4.38177,4.44725,100.773,115.68,5.08984,12.15,16.2197,868.227,983.412,328.053,373.283,8,2
161,138,6600.83,1424,8978.5,2,10,2561.95,5128.43,67.746,50.8735,145.938,167.026,131.099,142.003,1,1,1,9.11474,11.6736,0.780798,21.4523,22.6562,106.331,118.38,3.60986,8.28003,3.59961,191.057,239.875,451.595,495.161,4,2
162,138,6600.83,1424,8978.5,2,10,2561.95,5146.17,0,0,0,0,0,0,1,0,0,22.7169,29.4057,0.772533,0,0,0,0,16.1299,2.63,18.5303,0,0,0,0,0,0
163,139,6705.77,1644.28,8821.9,2,10,2285.03,5263.21,68.7924,81.3353,147.029,154.548,137.278,73.7219,1,1,1,330.528,398.947,0.828502,26.1987,28.4873,72.4212,78.3399,204.27,258.25,80.3008,1378.41,1626.08,837.163,947.626,13,7
164,139,6705.77,1644.28,8821.9,2,10,2285.03,5083.29,0,0,0,0,0,0,1,0,0,206.706,219.033,0.943722,0,0,0,0,30.8101,102.88,177.521,0,0,0,0,0,0
165,140,6725.95,1693.47,8836.8,2,10,2243.8,4831.92,88.2182,130.653,125.739,129.326,137.551,99.4434,1,1,1,23.4147,25.2395,0.9277,20.2377,21.0301,95.0997,119.312,10.3496,8,19.4199,20.2377,21.0301,95.0997,119.312,1,1
166,140,6725.95,1693.47,8836.8,2,10,2243.8,4900.37,56.8738,47.4038,141.39,143.615,155.382,168.296,1,1,1,86.8369,93.6946,0.926808,20.6566,22.9925,123.36,130.456,35.29,46.75,64.2002,56.6512,62.3596,123.36,130.456,2,1
167,144,6696.52,1714.15,8857.85,2,10,2237.48,4783.39,23.4404,47.4028,152.884,125.125,129.569,136.397,1,1,1,4.25022,4.37919,0.97055,104.386,116.435,233.697,260.018,1.37988,4,0.400391,256.369,305.317,233.697,260.018,3,1
168,144,6696.52,1714.15,8857.85,2,10,2237.48,4839.55,48.397,11.063,172.749,158.908,135.037,151.464,1,1,1,49.5011,60.542,0.817632,23.867,25.4109,146.068,161.483,30.3301,12.4199,39.2295,249.639,293.126,146.068,161.483,4,1
169,147,6553.88,1402.35,8934.02,2,11,2571.21,5280.5,31.4567,73.4723,121.762,112.153,144.445,156.185,1,1,1,95.7806,100.257,0.955348,16.0577,17.7938,24.8984,26.3687,44.98,73.88,41.1602,426.805,486.986,476.241,521.298,5,2
170,147,6553.88,1402.35,8934.02,2,11,2571.21,5518.81,0,0,0,0,0,0,1,0,0,269.948,338.561,0.797339,0,0,0,0,87.54,251.9,76.2402,0,0,0,0,0,0
171,148,6609.38,1426.7,8947.38,2,11,2545.59,5429.09,0,0,0,0,0,0,1,0,0,245.8,321.449,0.764662,0,0,0,0,88.1001,230.05,72.4697,0,0,0,0,0,0
172,148,6609.38,1426.7,8947.38,2,11,2545.59,5119.9,95.2671,54.6278,136.621,126.46,120.26,120.539,1,1,1,12.0286,12.2596,0.981164,294.931,322.099,12.9839,18.8148,11.0801,3.25,3.37012,391.925,433.52,12.9839,18.8148,2,1
173,152,6599.08,1305.85,8925.05,2,11,2648.3,5278.62,106.887,42.1632,154.665,145.739,97.1813,157.769,1,0.5,1,8.35424,8.56319,0.975599,0.631414,0.631414,191.311,222.959,4.45996,6.22998,3.33008,834.782,1048.67,191.311,222.959,5,1
174,152,6599.08,1305.85,8925.05,2,11,2648.3,5282.68,70.832,64.991,163.353,162.682,119.731,119.9,1,1,1,12.2006,12.6259,0.96631,38.3171,43.9983,243.29,267.249,7.58008,5.03003,8.12988,125.098,156.85,243.29,267.249,2,1
175,154,6647.17,1376.38,8925.38,2,11,2577.22,5189.84,0,0,0,0,0,0,1,0,0,12.4545,13.6658,0.91136,0,0,0,0,5.66992,7.83997,8,0,0,0,0,0,0
176,154,6647.17,1376.38,8925.38,2,11,2577.22,5197.86,0,0,0,0,0,0,1,0,0,21.3971,21.6913,0.986435,0,0,0,0,13.5,12.59,10.8203,0,0,0,0,0,0
177,155,6478.65,1378.68,8871.12,2,11,2582.75,5296.04,84.5669,91.5832,126.551,157.882,73.7998,75.7315,1,1,1,53.3354,57.1097,0.933911,9.59952,11.1335,161.655,194.472,4.29004,47.9801,23.29,836.055,933.455,196.431,232.026,4,2
178,155,6478.65,1378.68,8871.12,2,11,2582.75,5285.04,79.5494,45.7629,153.666,172.996,94.9984,141.226,1,1,1,34.6353,46.1073,0.75119,30.6053,41.503,6.64517,7.56561,14.0698,32.4,7.54004,537.993,628.714,439.555,516.593,5,3
179,156,6532.1,1392.68,8884,2,11,2564.66,5212.05,81.9986,54.9357,129.405,129.405,135.313,120.763,1,1,1,3.14987,4.68914,0.671737,4.84024,4.8487,52.748,58.9726,3.31006,1.18005,1.33008,657.952,788.833,52.748,58.9726,4,1
180,156,6532.1,1392.68,8884,2,11,2564.66,5526.39,0,0,0,0,0,0,1,0,0,289.583,319.025,0.907711,0,0,0,0,137.75,180.28,180.5,0,0,0,0,0,0
181,157,6537.92,1414.53,8970.7,2,11,2577.63,5244.34,136.942,119.524,161.23,159.79,51.0273,74.9159,1,1,1,29.054,31.691,0.916789,44.1351,50.0914,35.3171,42.8263,19.1699,21.25,7.39941,287.11,322.419,35.3171,42.8263,5,1
182,157,6537.92,1414.53,8970.7,2,11,2577.63,5250.91,64.766,63.9437,169.41,141.611,123.917,95.3504,1,1,1,28.4045,38.2661,0.742289,14.6277,15.6521,46.5413,49.2715,8.10986,17.23,22.75,428.969,472.862,162.57,196.086,3,2
183,158,6578.27,1429.75,8962.4,2,11,2553.76,5298.2,0,0,0,0,0,0,1,0,0,58.4335,67.4031,0.866925,0,0,0,0,32.4302,19.05,44.7197,0,0,0,0,0,0
184,158,6578.27,1429.75,8962.4,2,11,2553.76,5233.82,103.953,108.756,99.4225,90.8697,129.924,131.909,1,1,1,1.09176,3.02236,0.361228,23.2924,24.2583,61.0914,69.3422,1.57031,0.939941,0.5,23.2924,24.2583,61.0914,69.3422,1,1
185,159,6591.02,1427.25,8976.85,2,11,2559.87,5148.65,114.016,41.3525,171.783,164.139,57.8301,123.69,1,1,1,30.2024,32.7463,0.922314,15.4296,17.1175,53.9786,59.9771,12.3301,23.15,16.1992,1533.07,1821.61,735.504,852.423,18,3
186,159,6591.02,1427.25,8976.85,2,11,2559.87,5262.41,52.1326,81.1339,110.673,128.132,63.9806,114.531,1,1,1,119.584,146.511,0.816213,34.9735,37.2155,6.78073,7.17396,51.4697,107.07,38.0107,217.479,237.617,65.1734,72.0314,2,2
187,160,6595,1432.03,9001.75,2,11,2565.3,5123.75,147.337,136.025,142.246,133.313,60.0879,80.9221,1,1,1,4.38177,4.44725,0.985277,21.1255,24.8989,155.862,169.417,3.75,2.08008,0.900391,729.109,834.447,155.862,169.417,7,1
188,160,6595,1432.03,9001.75,2,11,2565.3,5234.98,103.134,99.2994,94.9261,110.509,159.688,135.705,1,1,1,100.773,115.68,0.871136,39.3105,43.9169,187.97,213.686,21.27,82.5601,54.9004,39.3105,43.9169,187.97,213.686,1,1
189,161,6602.08,1415.72,8974.9,2,11,2567.74,5151.09,57.5289,100.398,164.166,155.146,107.707,104.195,1,1,1,21.4523,22.6562,0.946865,157.761,191.108,19.3655,19.603,7.27002,19.3199,6.73047,241.601,298.676,105.13,129.254,2,2
190,161,6602.08,1415.72,8974.9,2,11,2567.74,5246.81,28.9314,54.7632,133.485,143.992,157.896,159.112,1,1,1,106.331,118.38,0.89822,104.03,108.987,241.235,267.795,47.4399,67.97,70.3203,104.03,108.987,241.235,267.795,1,1
191,163,6501.67,1386.03,8791.92,2,11,2543.54,5291.69,50.5815,78.0675,163.877,123.927,118.049,157.887,1,1,1,26.1987,28.4873,0.919662,12.3767,16.3077,48.7896,51.9825,12.2798,22.1801,8.0498,1115.22,1329.72,298.16,336.166,10,3
192,163,6501.67,1386.03,8791.92,2,11,2543.54,5341.55,60.075,56.31,138.876,164.904,87.7405,129.082,1,1,1,72.4212,78.3399,0.924449,62.5908,68.0021,10.4391,12.1559,21.8599,7.76001,69.2002,576.185,646.693,261.587,302.751,5,2
193,165,6736.3,1685.47,8817.38,2,11,2242.06,4852.95,0,0,0,0,0,0,1,0,0,20.2377,21.0301,0.962318,0,0,0,0,4.97021,18.97,5.22949,0,0,0,0,0,0
194,165,6736.3,1685.47,8817.38,2,11,2242.06,4951.23,0,0,0,0,0,0,1,0,0,95.0997,119.312,0.797066,0,0,0,0,10.9102,81.88,52.0303,0,0,0,0,0,0
195,166,6690.83,1646.72,8772.6,2,11,2265.86,5030.83,0,0,0,0,0,0,1,0,0,123.36,130.456,0.945608,0,0,0,0,33.2202,80.6699,88.5996,0,0,0,0,0,0
196,166,6690.83,1646.72,8772.6,2,11,2265.86,4923.37,77.0087,64.0185,140.908,155.087,141.969,139.61,1,1,1,20.6566,22.9925,0.898404,25.4951,26.4691,10.4996,12.898,13.8101,1.32007,15.75,25.4951,26.4691,10.4996,12.898,1,1
