,prefix,region,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
164,18461_4410_x23856_y6531,SSs,74,74,132.8499,2086.4667,36,3.8149,3.4408727090667037,1,0.39722855968145865
165,18864_4429_x7945_y3080,SSs,72,72,171.9921,1654.9301,35,3.6408,0.0,1,0.45484285343029
166,18864_4554_x9386_y2232,SSs,100,100,217.9384,3077.4585,49,3.5216,0.0,1,0.5304340395339293
167,18864_4693_x10912_y2095,SSs,6,6,18.949,204.9354,2,2.8689,0.0,0,0.0
168,18864_4797_x9453_y2359,SSs,62,62,119.4975,1993.9422,30,5.89,0.0,1,0.42943430768343277
169,18864_5030_x9347_y31359,SSs,18,18,51.3598,172.1894,8,8.3265,0.0,0,0.6827364534815997
170,18864_5305_x7877_y31450,SSs,58,58,117.9492,1288.3352,28,5.2757,0.0,1,0.4689126253946153
171,18864_5444_x7352_y31475,SSs,81,81,189.5782,2966.7821,39,2.8299,0.0,1,0.48554554854976645
172,18864_00029,SSs,27,27,59.438,622.5127,12,3.2275,0.0,0,0.5524293855789167
173,18864_00043,SSs,34,34,56.7387,522.3158,16,4.9186,0.0,0,0.5373184218755
174,18864_00313,SSs,28,28,51.5541,295.3859,12,3.3219,0.0,0,0.5050223635651497
175,18867_3926_x8710_y12751,SSs,118,120,304.1285,82029.4449,59,10.2804,11.210392589022023,1,0.7740745154139542
176,18867_3973_x31634_y12362,SSs,94,94,272.1175,8928.1115,45,9.2141,8.406860353306707,1,0.41256604046486856
177,18867_4218_x8269_y11914,SSs,180,180,413.1919,12571.003,89,14.0056,12.894541868558198,1,0.42700021146275685
178,18867_4392_x7633_y13301,SSs,117,117,269.0668,5006.8774,57,10.153,2.92747228851102,1,0.44784434612171325
179,18867_4801_x7068_y12938,SSs,74,74,197.3243,4644.0113,36,4.6033,0.0,1,0.45403482513585963
180,18868_3626_x29809_y12585,SSs,110,110,294.9563,12827.3863,54,11.402,8.316666459585827,1,0.3779529545735078
181,18868_3981_x30626_y12403,SSs,145,145,387.1461,13765.8548,71,12.1197,12.632333949037289,1,0.3885642778425353
182,18868_4221_x5685_y12199,SSs,93,93,291.3783,8531.9095,45,11.2376,16.197517464105417,1,0.4529787646077833
183,18868_4464_x5477_y11004,SSs,107,107,285.7214,6772.7871,52,12.2911,10.49988923751104,1,0.518769143929913
184,18868_4517_x31548_y11591,SSs,123,124,360.546,11610.499,61,13.3687,12.46778729366202,1,0.4793079500846134
185,18868_4863_x31402_y10126,SSs,92,92,291.8398,8431.534,44,11.7999,9.988907998374993,1,0.5114226134122134
186,18868_5723_x7031_y7203,SSs,105,109,336.5465,9597.9378,53,13.7871,8.606720281268583,1,0.43067109551338
187,18869_3761_x5335_y8118,SSs,116,116,234.4285,5122.5611,57,10.5572,7.307539668041505,1,0.5127200874510986
188,18869_4091_x4807_y8065,SSs,113,113,233.2465,3722.0025,55,10.4514,5.996672493975316,1,0.4873053333642098
189,18869_4253_x4991_y7023,SSs,118,118,269.5903,5298.9387,58,10.5172,13.210810308228638,1,0.5191817747164504
190,18869_4302_x23433_y9053,SSs,87,87,272.2761,7093.2004,42,9.9831,7.5751293058270575,1,0.4220562919448029
191,18869_4587_x23021_y6827,SSs,98,98,245.4926,7719.978,48,13.8233,11.681257038521153,1,0.4417598401660314
192,18869_4764_x5211_y5995,SSs,102,102,279.2378,7904.6585,50,13.6098,13.759709517282701,1,0.5456249686644786
193,18869_5024_x5544_y5480,SSs,93,101,322.1522,9593.3671,49,15.5254,18.637925769784584,1,0.5460094693523102
194,18869_5343_x5414_y5337,SSs,109,109,305.7133,6784.3754,53,14.8738,15.862913855909321,1,0.5558252047098128
195,191807_4923_x7499_y24194,SSs,64,64,110.0068,1174.0723,31,8.0985,3.8134526350801865,1,0.6234349568991678
196,191807_5062_x6404_y23808,SSs,49,49,97.7701,896.2538,22,6.5675,0.26106129548440604,0,0.5308934805728568
197,191812_3758_x8791_y24162,SSs,62,62,165.3139,4444.0809,30,5.5517,0.491867868436233,1,0.43226831263387405
198,191812_3762_x9097_y24261,SSs,26,26,59.5931,920.6539,12,10.8067,0.0,0,0.6141028316081497
199,191812_4664_x8027_y25176,SSs,45,45,118.9192,4327.2361,21,12.7046,11.122227879341445,0,0.4876245250024117
200,191812_5158_x9017_y25877,SSs,46,46,114.9592,2358.5303,22,12.0041,2.9663319099520966,0,0.4793971176790155
201,191812_5221_x9028_y25900,SSs,52,52,123.5017,2651.5295,25,10.6585,2.7791081303180745,1,0.49847830317620356
202,191812_5676_x8072_y26215,SSs,54,54,135.8875,3354.3795,26,4.3839,0.0,1,0.46131937276669704
203,236174_5670_x14073_y29439,SSs,28,28,55.1909,593.2484,13,3.4773,0.0,0,0.43293574374589316
204,17109_6201_x4328_y6753,VISp,16,16,39.2752,314.2579,7,3.9333,0.0,0,0.49280816160790486
205,17300_5969_x27278_y20820,VISp,80,80,200.1329,3121.513,38,3.9069,0.0,1,0.4082705491453123
206,182725_6819_x6109_y7853,VISp,100,100,199.7773,3021.992,49,9.3192,0.88103291652469,1,0.4748128538170493
207,18452_7249_x11408_y2071,VISp,84,84,126.0139,549.4872,37,1.596,0.0,1,0.4624970151104445
208,18453_6477_x30376_y5078,VISp,6,6,21.5699,117.6363,2,4.0,0.0,0,0.0
209,18453_6675_x10576_y3102,VISp,28,28,53.7735,583.3197,13,1.9622,0.0,0,0.5350638877213133
210,18453_6748_x28152_y3578,VISp,41,41,64.0854,903.0957,19,3.91,0.0,0,0.3886386744065539
211,18453_6846_x11548_y2831,VISp,42,42,97.18,1368.851,20,3.614,0.0,0,0.6594717183938515
212,18453_7007_x11486_y3611,VISp,12,12,34.263,469.8246,5,2.2582,0.0,0,0.5666741269953794
213,18453_7010_x8769_y4509,VISp,44,44,99.4217,1654.1165,21,4.7278,0.0,0,0.4271354990325991
214,18453_7024_x9012_y4138,VISp,92,92,293.1042,3811.7696,44,1.9788,0.0,1,0.577530214222005
215,18453_7112_x9089_y4667,VISp,23,23,51.7231,923.9405,10,4.9259,0.0,0,0.43220427744827605
216,18453_7132_x11495_y3152,VISp,32,32,65.5468,772.7419,15,4.2481,0.0,0,0.46328918326264945
217,18453_7146_x8788_y4552,VISp,46,46,127.4353,3436.3484,22,4.3876,0.0,0,0.48818984244539476
218,18453_7188_x11060_y3637,VISp,42,42,82.963,1251.8771,20,4.0847,0.0,0,0.41159056193830446
219,18453_7223_x30215_y5120,VISp,62,62,130.8846,1481.9827,30,2.6684,0.0,1,0.5538695051478013
220,18453_7245_x12979_y2864,VISp,22,22,49.3051,545.6716,10,4.8283,0.0,0,0.3859469726724164
221,18453_7304_x11719_y3749,VISp,23,23,60.0958,987.8894,10,1.5942,0.0,0,0.41468504064696
222,18864_5637_x5637_y31619,VISp,99,99,165.0125,1006.4459,48,1.7276,0.0,1,0.43008854445036604
223,18864_6321_x4387_y7047,VISp,81,83,235.0387,3064.1278,41,2.4353,3.0730133419820858,1,0.7488365598213973
224,18864_6734_x4899_y27447,VISp,54,54,105.2454,1446.6277,26,6.2769,0.0,1,0.5189642001268656
225,18864_6821_x5144_y6844,VISp,37,38,170.2906,4487.205,18,7.1759,12.58665122262471,0,0.6159084675920008
226,18864_00119,VISp,54,54,107.3274,1546.4853,25,4.5744,0.0,1,0.48761398996316824
227,17300_5896_x24862_y27320,RSPv,91,91,166.5976,1796.4146,45,2.4868,0.0,1,0.48733918175759894
228,17788_5767_x16636_y3662,RSPv,63,63,128.5007,2845.8048,29,4.2137,0.0,1,0.35289263971320767
229,18453_5841_x19468_y3419,RSPv,12,12,25.3243,92.4462,5,4.3128,0.0,0,0.4553695031988127
230,18453_6576_x22528_y4353,RSPv,21,21,23.114,66.216,10,2.4139,0.0,0,0.6291525973976221
231,18867_5486_x20836_y5690,RSPv,154,154,350.5106,4675.6994,76,7.1338,0.0,1,0.3868548902029354
232,18867_5640_x21236_y5683,RSPv,127,127,270.9723,5202.2763,62,8.0967,3.232353167585491,1,0.43733280747263337
233,18867_5665_x20882_y6561,RSPv,124,124,239.3805,3459.6482,61,6.553,0.42963472857766155,1,0.3801235115398842
234,18867_5867_x21009_y6208,RSPv,117,117,272.2872,4692.2533,57,7.0768,0.0,1,0.4360251671990176
235,18867_6003_x18592_y6204,RSPv,136,136,314.0378,9251.7617,67,6.2094,0.3490143263535173,1,0.3858018132335235
236,18867_6007_x18415_y4843,RSPv,124,124,305.8749,5871.2191,61,7.5217,1.1979106811444578,1,0.37528079465189684
237,18867_6085_x20833_y6331,RSPv,132,132,273.0614,4470.6594,65,6.0194,0.0,1,0.39160515766214743
