,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
311,17302_00045,CP,39,39,80.0792,642.5509,17,1.1218,0.0,0,0.42873884230958004
312,17302_00046,CP,46,46,77.1304,300.8889,22,0.7799,0.0,0,0.46370931469134846
313,17302_00047,CP,13,13,22.5285,34.9639,6,3.0688,0.0,0,0.5322936874672914
314,17302_00050,CP,60,60,96.5528,670.7778,28,0.8588,0.0,1,0.38155788841555227
315,17302_00055,CP,46,46,79.873,362.9404,20,0.6279,0.0,0,0.45811145387196245
316,17302_00056,CP,42,42,78.8787,465.807,19,0.3442,0.0,0,0.4154151827267294
317,17302_00057,CP,40,40,100.431,675.2644,17,1.9855,0.0,0,0.5363419298118679
318,17302_00059,CP,34,34,61.6701,294.5743,15,2.3268,0.0,0,0.5714403799049966
319,17302_00062,CP,39,39,69.5557,668.9229,18,0.5824,0.0,0,0.5301580747843224
320,17302_00063,CP,28,28,58.1129,656.3599,13,1.103,0.0,0,0.5006283739995978
321,17302_00074,CP,41,41,95.6154,908.4974,19,1.713,0.0,0,0.4849873891117956
322,17302_00075,CP,50,50,145.4243,1534.3165,22,1.8741,0.0,0,0.5518558637998011
323,17302_00081,CP,62,62,97.7527,340.6873,29,0.3029,0.0,1,0.5280443352979879
324,17302_00085,CP,37,37,101.7378,822.3593,17,0.9888,0.0,0,0.4849610824086376
325,17302_00086,CP,65,65,124.757,851.5696,31,0.6669,0.0,1,0.5112334769754514
326,17302_00087,CP,64,64,113.5917,369.9768,30,0.8296,0.0,1,0.5215450169299727
327,17302_00091,CP,40,40,77.0649,507.3653,18,0.8692,0.0,0,0.37001155096811356
328,17302_00093,CP,54,54,115.8476,732.4579,26,0.7758,0.0,1,0.5042532113206756
329,17302_00094,CP,42,42,88.9227,587.962,19,0.7071,0.0,0,0.5037297488022312
330,17302_00095,CP,41,41,86.1963,501.1397,19,1.5889,0.0,0,0.49384545034275296
331,17302_00096,CP,44,44,77.0795,163.5442,20,0.507,0.0,0,0.5491248771130928
332,17302_00097,CP,62,62,127.4265,665.1174,29,0.769,0.0,1,0.4977737105690885
333,17302_00098,CP,34,34,86.6935,714.3621,16,1.8675,0.0,0,0.6946227860693355
334,17302_00099,CP,75,75,96.5327,185.953,32,0.4989,0.0,1,0.46210685372950583
335,17302_00101,CP,58,58,66.5257,538.3079,28,1.1349,0.0,1,0.48000309062316276
336,17302_00102,CP,42,42,91.9592,701.6979,18,1.408,0.0,0,0.4105584126216985
337,17302_00103,CP,73,73,105.2948,975.9862,35,2.5081,0.0,1,0.47494554416378915
338,17302_00105,CP,20,20,41.4262,259.8869,9,1.0114,0.0,0,0.42599795220970155
339,17302_00106,CP,46,46,86.6607,369.6267,21,0.8226,0.0,0,0.509006764057398
340,17302_00108,CP,49,49,86.0402,592.6461,22,0.946,0.0,0,0.568011091853049
341,17302_00110,CP,44,44,96.5636,748.4721,20,1.2877,0.0,0,0.39707522005443824
342,17302_00123,CP,35,35,75.6613,815.3323,16,0.4844,0.0,0,0.46910287170144366
343,17302_00124,CP,39,39,89.35,691.0799,16,0.9422,0.0,0,0.42808495281645376
344,17545_00001,CP,47,47,154.9442,1219.7207,21,4.0292,6.728754713912527,0,0.6541815414173001
345,17545_00004,CP,45,45,119.5467,1061.1133,19,0.6616,0.0,0,0.44471283661212185
346,17545_00006,CP,43,43,110.7406,922.8024,20,0.2307,0.0,0,0.3817131669740091
347,17545_00007,CP,52,52,120.9836,751.6984,24,0.9998,0.0,1,0.35818725082761604
348,17545_00008,CP,53,53,133.9554,1300.8617,23,0.7151,0.0,1,0.42704336337205123
349,17545_00023,CP,51,51,102.0995,509.7814,24,0.9784,0.0,1,0.41703596075331717
350,17545_00024,CP,45,45,118.0066,1426.6465,20,1.2179,0.0,0,0.38596602113476025
351,17545_00025,CP,34,34,86.0765,750.1739,16,1.6308,0.0,0,0.4085080382352313
352,17545_00026,CP,36,36,113.7693,741.1423,12,0.9712,0.0,0,0.4826420917544158
353,17545_00027,CP,66,66,142.3486,1111.6819,30,0.8857,0.0,1,0.5531485986112656
354,17545_00028,CP,84,84,119.6144,524.3714,41,0.8833,0.0,1,0.4668902697760425
355,17545_00029,CP,43,43,111.6824,634.4487,18,0.7888,0.0,0,0.3706947019205602
356,17545_00030,CP,55,55,106.7472,797.9639,26,1.6765,0.0,1,0.44671864019359697
357,17545_00040,CP,48,48,85.7187,835.2448,22,1.7277,0.0,0,0.42578955516576655
358,17545_00041,CP,49,49,130.4296,1301.7452,21,1.1338,0.0,0,0.3761855644034555
359,17545_00044,CP,43,43,101.1053,1445.0211,20,0.8438,0.0,0,0.39095421719054047
360,17545_00045,CP,51,51,131.5755,1322.0529,24,1.2103,0.0,1,0.3907371207226353
