,region_name_r316,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell name,formatted name,Soma_x,Soma_y,Soma_z,Registered_soma_region,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type
0,VISpor,8911,12.5664,0.06002938985027205,-0.5986840693235361,-0.5926777891710359,-0.5808058295862417,0.7342026767781558,0.669096949350632,0.16550014388273526,1.99978,0.20874014851354944,55132.9,-0.07128861814856063,0.4462746089794497,0.21108435028409409,-0.25937235345530857,-0.008104736549410841,0.31985715337957055,-0.004571484551398256,-0.050964368016731584,0.2676087863979264,-0.26783815818591855,18453_7455_x32866_y9412,18453_7455-X32866-Y9412,9868.3,2911.25,1455.375,VISpor,VISpor,2/3,Cux2-CreERT2;Ai166_374712-18453,18453,CTX_IT
1,VPM,6728,12.5664,-0.5142211117522175,-0.4588330396333096,-0.4665793696375827,-0.4779543642042488,-0.2774205674445413,-0.1251992429662384,-0.6621344467299953,1.9997,5.204694196425574e-05,41718.8,-0.3191698418270653,-0.4733436406569942,-0.5513773582903917,-0.6391081606883333,-0.5869604921815004,0.01732349715510359,-0.6878897058534642,-0.7674846130877816,-0.7521714564697976,-0.6173234856816255,18454_00106,18454_5430-X23366-Y11962,6652.1,4724.35,4008.45,VPL,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454,TH_core
2,CP,5912,12.5664,-0.44012304443925687,-0.9156053046530154,-0.9127843111954465,-0.9093837440843282,-0.0204022806605721,0.19407421390135818,-0.25891295927756164,1.99966,-0.17704311878291748,36514.6,-0.41094992997577123,-0.18743195117540765,0.11883874792990583,-0.4618807393854575,-0.5790531673528658,0.2353190193465324,-0.44593796003002356,-0.8694802658607982,-0.4361225546357825,-0.877837667405784,17302_00010,17302_3072-X18275-Y16230,5068.475,3987.55,2783.275,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr
3,RT,3737,12.5664,-0.8810818581986783,-0.6569478310458503,-0.6923675259772545,-0.7189880167799726,-0.27733182130949874,0.057683651788168186,0.03173202032342447,1.99946,-0.7547143006657013,23159.7,0.5272838618114054,-0.1767385128333203,0.16550859798170933,-0.15085370009753254,-0.15790917163545748,0.11828357189586658,-0.05722456100815643,0.2312727566667679,0.45456524539289095,-0.1757677531716385,18869_4384_x15799_y10704,18869_4384-X15799-Y10704,5900.849999999999,5167.275,4869.15,ZI,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,
4,VPM,6104,12.5664,0.6786320671487878,-0.3632675629095684,-0.3433460963438079,-0.3208134526575573,-0.3457964390583923,-0.7452760819509113,-0.5603311644332293,1.99967,-0.6859372295053454,37848.4,0.2497105074238983,-0.47042062382253164,-0.5970909010988124,-0.510642485214145,-0.058442255320241505,-0.014436104618241548,-0.09102441051052491,0.08280889681264415,-0.12279913566599228,0.1514012856583818,18454_01005,18454_5472-X11098-Y11094,6960.675,3812.85,3476.675,VPM,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454,TH_core
5,VPM,3167,12.5664,1.1463467718107918,-1.1133246363365377,-1.0527234201242912,-0.9927017973096569,-0.34453584054926545,-1.1257917298185025,-1.2504737068030636,1.99937,-0.9163425069955993,19675.3,-0.48399916366734574,-0.5803211303654549,-0.2560264934646898,-1.1567603613917252,-0.6670777317254372,-0.19976473307288575,-0.7481050460483267,-0.8092397697397681,-0.8084182113930489,-0.3629378686033002,18454_01118,18454_5944-X25771-Y10502,7093.8,4179.775,3102.4,RT,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454,TH_core
6,CP,10594,12.5664,0.3594474473158481,1.3414049751158863,1.3185171529237187,1.2827339553905281,0.7353805800250839,1.8337142418779968,1.0168916726548909,1.99981,1.863502540616737,65114.0,0.7169179695033138,0.8218771405069787,1.689024289736927,1.6883036185342601,0.02740395117455179,-0.3435453067235027,0.04149817047325287,0.061659685646998925,0.2336759944887428,-0.05634478856782729,17302_00075,17302_2643-X14652-Y40496,5095.925,4474.575,2839.675,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others
7,VISli,16642,12.5664,1.182114333866852,1.5344237939428669,1.5248394756412964,1.512777550876638,0.5481211926912992,0.9075004332433754,1.445639144629347,1.99988,1.315502319763893,103383.0,0.31413867720070354,0.6843023973332806,0.8668160007728951,1.5039048622774196,0.9356950436290463,0.4780503009373365,0.6940716029143846,0.6329147582770048,0.6633382932916816,0.9975122386329761,182725_7341_x4593_y22594,182725_7341-X4593-Y22594,8754.75,2000.3,1962.350000000001,VISli,VISli,5,Fezf2-CreER;Ai166_405429-182725,182725,CTX_ET
8,CP,8729,12.5664,-0.7122495947510596,0.1478979376420438,0.10469357688309558,0.06226518972291944,0.146151624888982,0.6484903943336057,0.2449748595611059,1.99977,0.047324650859024465,53515.7,-0.20236239129341788,0.22113560061409507,0.5064948557765877,0.4983157368762485,-0.054481321325025554,-0.37886613902967187,0.003916197842701279,0.21616531075311057,0.24334032341546685,-0.2003590623609396,17545_00066,17545_3436-X25590-Y17438,4921.8,2802.15,3938.249999999999,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545,CP_GPe
9,RT,2214,12.5664,-0.6965240292149851,-0.41741586236718203,-0.4381606123901153,-0.45344522547744137,-1.0969447345372136,-0.7826601435520955,-0.49086736308983403,1.9991,-1.0955856505048287,13598.7,-0.12691068609458397,-0.66834827497858,-0.42573606739497005,0.4535355616840681,-0.09926179409338895,-0.6230054763849926,0.26991390766351875,0.07202763316620546,-0.009217553672137245,0.12684241882948877,18867_4621_x24147_y14734,18867_4621-X24147-Y14734,5739.825,4911.95,4350.85,unknown,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,
